Sweden, Life expectancy at birth (period, 1x1)     Last modified: 28-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1751      39.88   36.81   38.37
1752      36.75   33.88   35.34
1753      41.27   38.05   39.69
1754      39.01   35.80   37.43
1755      37.60   35.34   36.50
1756      37.81   34.51   36.18
1757      35.01   32.47   33.76
1758      34.40   31.34   32.87
1759      39.90   36.38   38.15
1760      41.18   38.08   39.66
1761      39.13   36.35   37.76
1762      33.58   31.20   32.42
1763      31.75   29.00   30.39
1764      37.92   34.56   36.24
1765      37.80   34.07   35.93
1766      39.68   36.39   38.04
1767      40.10   36.25   38.16
1768      36.22   33.71   34.99
1769      35.57   33.68   34.65
1770      37.75   35.41   36.60
1771      36.83   33.90   35.37
1772      29.59   25.86   27.68
1773      18.79   17.15   17.96
1774      41.35   39.72   40.53
1775      39.21   36.99   38.09
1776      42.77   40.16   41.47
1777      39.19   36.96   38.08
1778      36.75   34.24   35.50
1779      33.38   32.14   32.76
1780      44.02   41.24   42.64
1781      39.15   36.38   37.76
1782      38.23   35.02   36.61
1783      35.52   31.89   33.68
1784      32.65   30.13   31.40
1785      34.59   32.26   33.43
1786      39.33   36.34   37.84
1787      41.78   38.67   40.22
1788      38.18   35.34   36.76
1789      34.69   28.04   31.17
1790      35.37   31.77   33.55
1791      39.56   37.25   38.40
1792      41.27   38.32   39.78
1793      40.79   38.38   39.59
1794      41.81   38.93   40.36
1795      37.75   35.26   36.50
1796      40.23   37.41   38.82
1797      41.88   38.75   40.31
1798      42.91   39.67   41.29
1799      41.00   37.59   39.29
1800      33.15   31.11   32.13
1801      38.03   35.66   36.85
1802      41.81   38.48   40.13
1803      41.83   38.58   40.19
1804      41.41   37.92   39.65
1805      42.38   39.62   41.00
1806      37.23   35.03   36.14
1807      39.91   37.52   38.72
1808      32.23   28.13   30.13
1809      28.91   24.92   26.86
1810      33.63   30.30   31.94
1811      36.21   32.88   34.54
1812      36.84   33.29   35.05
1813      38.57   34.39   36.46
1814      40.11   36.98   38.55
1815      41.86   38.94   40.41
1816      43.61   39.85   41.73
1817      41.77   38.76   40.27
1818      41.95   38.03   39.98
1819      38.61   35.27   36.93
1820      41.84   38.57   40.21
1821      39.53   36.69   38.12
