France, Total Population, Life expectancy at birth (period, 1x1)     Last modified: 08-Jan-2014, MPv5 (May07)

Year     Female    Male   Total
1816      41.07   39.03   40.05
1817      40.19   38.21   39.18
1818      39.06   38.08   38.55
1819      37.90   36.70   37.28
1820      39.94   38.57   39.23
1821      40.39   39.33   39.84
1822      38.99   37.67   38.31
1823      40.78   39.24   39.99
1824      39.92   38.45   39.16
1825      39.03   38.09   38.53
1826      38.29   37.27   37.76
1827      40.10   38.67   39.36
1828      38.27   36.89   37.56
1829      40.24   38.61   39.40
1830      40.33   38.88   39.59
1831      40.54   38.91   39.69
1832      36.50   35.22   35.83
1833      39.56   38.18   38.84
1834      35.76   34.37   35.04
1835      40.42   38.59   39.48
1836      42.76   41.20   41.96
1837      39.97   38.83   39.38
1838      39.97   38.71   39.33
1839      41.53   40.33   40.92
1840      41.14   39.65   40.38
1841      41.74   39.67   40.68
1842      40.88   39.15   39.99
1843      41.39   40.14   40.76
1844      42.94   41.68   42.30
1845      44.19   42.97   43.58
1846      41.29   40.05   40.66
1847      41.18   39.67   40.42
1848      41.10   39.51   40.29
1849      36.67   35.20   35.92
1850      43.97   42.60   43.28
1851      42.37   41.17   41.77
1852      41.92   40.72   41.31
1853      43.21   41.86   42.52
1854      36.98   35.32   36.13
1855      39.46   35.77   37.53
1856      41.28   39.09   40.15
1857      40.12   39.02   39.56
1858      40.02   39.33   39.67
1859      35.88   34.69   35.27
1860      43.84   42.82   43.32
1861      40.88   39.98   40.42
1862      43.29   42.08   42.67
1863      42.35   41.10   41.72
1864      42.70   41.28   41.97
1865      40.86   39.42   40.12
1866      42.55   41.09   41.81
1867      43.12   41.55   42.32
1868      41.11   39.35   40.21
1869      42.13   40.18   41.13
1870      38.34   34.63   36.39
1871      32.42   27.19   29.58
1872      43.75   41.57   42.63
1873      42.72   40.86   41.76
1874      45.29   43.37   44.30
1875      44.05   42.26   43.12
1876      44.65   42.45   43.51
1877      45.31   43.32   44.29
1878      44.37   42.31   43.31
1879      45.07   42.89   43.95
1880      43.72   41.73   42.69
1881      44.66   42.38   43.49
1882      44.37   41.87   43.08
1883      44.50   41.99   43.21
1884      43.75   41.19   42.43
1885      45.24   42.63   43.90
1886      44.43   41.84   43.10
1887      44.96   42.47   43.69
1888      45.61   42.62   44.07
1889      46.93   44.12   45.49
1890      44.73   41.98   43.32
1891      45.52   42.70   44.07
1892      44.98   42.12   43.51
1893      45.11   42.01   43.51
1894      47.12   43.88   45.45
1895      46.79   43.57   45.13
1896      49.13   45.95   47.49
1897      49.54   46.27   47.86
1898      47.61   44.31   45.92
1899      46.93   43.45   45.15
1900      46.87   43.24   45.01
1901      48.80   45.16   46.93
1902      49.74   46.25   47.96
1903      50.09   46.73   48.37
1904      49.75   46.39   48.03
1905      50.20   46.49   48.30
1906      49.63   45.84   47.68
1907      50.20   46.39   48.24
1908      51.27   47.37   49.27
1909      52.01   48.03   49.96
1910      53.31   49.45   51.33
1911      50.09   46.27   48.13
1912      53.75   49.50   51.57
1913      53.38   49.34   51.31
1914      53.25   29.35   38.20
1915      52.35   27.04   36.25
1916      52.95   31.23   40.22
1917      52.01   35.58   43.08
1918      42.98   28.37   34.84
1919      50.76   44.33   47.60
1920      53.45   49.62   51.53
1921      54.70   50.56   52.62
1922      56.83   52.88   54.85
1923      56.68   52.52   54.59
1924      57.42   53.02   55.21
1925      56.69   52.01   54.33
1926      56.20   51.77   53.97
1927      57.80   53.67   55.74
1928      57.54   53.23   55.38
1929      56.54   51.94   54.23
1930      59.35   54.34   56.83
1931      59.27   54.52   56.89
1932      59.74   54.71   57.22
1933      60.22   55.11   57.66
1934      61.22   55.46   58.32
1935      61.18   55.44   58.29
1936      61.73   55.86   58.78
1937      62.16   56.15   59.14
1938      62.04   55.89   58.95
1939      62.63   56.56   59.59
1940      58.94   42.27   49.55
1941      61.44   54.01   57.66
1942      61.43   53.55   57.41
1943      58.11   48.89   53.33
1944      53.67   41.73   47.20
1945      58.59   51.38   54.94
1946      64.95   59.63   62.35
1947      66.64   61.11   63.94
1948      68.74   62.73   65.80
1949      67.51   62.15   64.89
1950      69.19   63.43   66.37
1951      68.91   63.18   66.10
1952      70.23   64.42   67.39
1953      70.23   64.28   67.32
1954      71.22   65.04   68.19
1955      71.54   65.23   68.44
1956      71.68   65.17   68.47
1957      72.21   65.50   68.90
1958      73.23   66.86   70.11
1959      73.35   66.85   70.16
1960      73.62   67.03   70.37
1961      74.36   67.46   70.95
1962      73.90   67.00   70.47
1963      73.81   66.81   70.32
1964      74.82   67.68   71.28
1965      74.72   67.47   71.10
1966      75.18   67.82   71.51
1967      75.20   67.79   71.50
1968      75.22   67.76   71.49
1969      75.05   67.42   71.21
1970      75.82   68.38   72.10
1971      75.87   68.31   72.07
1972      76.19   68.49   72.32
1973      76.31   68.68   72.47
1974      76.75   68.94   72.81
1975      76.87   69.02   72.90
1976      77.21   69.17   73.14
1977      77.84   69.70   73.73
1978      77.96   69.82   73.85
1979      78.28   70.07   74.13
1980      78.40   70.16   74.24
1981      78.50   70.38   74.40
1982      78.89   70.72   74.77
1983      78.82   70.74   74.74
1984      79.36   71.15   75.23
1985      79.45   71.24   75.31
1986      79.71   71.51   75.58
1987      80.30   72.04   76.15
1988      80.49   72.33   76.40
1989      80.67   72.46   76.55
1990      80.97   72.73   76.84
1991      81.17   72.88   77.02
1992      81.46   73.15   77.30
1993      81.47   73.26   77.36
1994      81.90   73.66   77.78
1995      81.91   73.85   77.88
1996      82.06   74.08   78.07
1997      82.32   74.52   78.43
1998      82.42   74.73   78.60
1999      82.52   74.95   78.76
2000      82.81   75.25   79.06
2001      82.95   75.45   79.24
2002      83.05   75.72   79.43
2003      82.96   75.83   79.44
2004      83.88   76.70   80.36
2005      83.84   76.75   80.36
2006      84.20   77.20   80.78
2007      84.41   77.43   80.99
2008      84.36   77.63   81.07
2009      84.46   77.80   81.20
2010      84.72   78.07   81.47
2011      85.02   78.46   81.82
2012      84.86   78.51   81.75
