Bulgaria, Life expectancy at birth (period, 1x1)     Last modified: 05-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1947      55.70   52.54   54.10
1948      57.24   54.40   55.80
1949      59.64   56.29   57.94
1950      63.24   59.64   61.42
1951      62.24   59.08   60.64
1952      61.14   58.15   59.63
1953      65.94   62.41   64.15
1954      66.17   62.67   64.40
1955      66.54   63.10   64.81
1956      66.96   63.50   65.21
1957      68.36   64.89   66.61
1958      70.41   67.04   68.72
1959      68.16   65.03   66.59
1960      70.94   67.47   69.19
1961      72.07   68.41   70.22
1962      71.30   67.76   69.51
1963      72.02   68.67   70.33
1964      72.96   69.37   71.14
1965      73.22   69.44   71.30
1966      73.17   69.35   71.23
1967      72.55   68.36   70.41
1968      73.33   69.23   71.24
1969      72.73   68.22   70.41
1970      73.51   69.11   71.25
1971      73.21   68.61   70.85
1972      73.20   68.66   70.87
1973      73.75   69.02   71.32
1974      73.57   68.91   71.18
1975      73.54   68.63   71.01
1976      73.87   68.97   71.35
1977      73.45   68.25   70.76
1978      73.65   68.75   71.13
1979      74.02   68.62   71.23
1980      73.90   68.44   71.07
1981      74.30   68.82   71.47
1982      73.95   68.39   71.08
1983      74.32   68.40   71.25
1984      74.47   68.43   71.34
1985      74.26   68.10   71.06
1986      74.84   68.49   71.54
1987      74.60   68.33   71.35
1988      74.75   68.31   71.41
1989      74.90   68.29   71.47
1990      74.81   68.08   71.32
1991      74.50   68.08   71.19
1992      74.79   67.85   71.19
1993      75.11   67.57   71.18
1994      74.81   67.23   70.86
1995      74.88   67.36   70.97
1996      74.59   67.35   70.84
1997      73.89   66.95   70.30
1998      74.71   67.36   70.90
1999      75.09   68.19   71.55
2000      75.00   68.30   71.57
2001      75.39   68.52   71.87
2002      75.58   68.83   72.13
2003      75.96   68.92   72.35
2004      76.23   69.06   72.56
2005      76.22   69.03   72.54
2006      76.26   69.23   72.66
2007      76.58   69.53   72.98
2008      76.92   69.81   73.29
2009      77.26   70.12   73.62
2010      77.25   70.31   73.72
