United Kingdom, Life expectancy at birth (period, 1x1)     Last modified: 05-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1922      58.86   55.18   57.03
1923      61.20   57.38   59.31
1924      60.00   56.15   58.08
1925      60.36   56.49   58.43
1926      61.52   57.60   59.57
1927      60.93   56.96   58.96
1928      61.92   57.88   59.92
1929      59.61   55.64   57.63
1930      62.87   58.66   60.78
1931      62.01   57.98   60.01
1932      62.43   58.59   60.53
1933      62.49   58.64   60.58
1934      63.26   59.33   61.31
1935      63.94   59.95   61.96
1936      63.85   59.64   61.76
1937      63.88   59.69   61.80
1938      65.37   61.01   63.21
1939      65.79   61.37   63.61
1940      63.50   58.15   60.88
1941      64.16   58.12   61.35
1942      66.75   60.65   63.99
1943      66.64   60.73   64.01
1944      67.59   61.38   64.81
1945      68.32   62.78   65.75
1946      68.71   63.81   66.34
1947      68.67   63.88   66.31
1948      70.64   66.04   68.39
1949      70.30   65.83   68.11
1950      70.92   66.24   68.63
1951      70.68   65.71   68.24
1952      72.11   66.84   69.54
1953      72.36   67.11   69.80
1954      72.80   67.41   70.17
1955      72.78   67.38   70.14
1956      73.10   67.58   70.40
1957      73.32   67.61   70.53
1958      73.49   67.79   70.70
1959      73.59   67.91   70.82
1960      73.89   68.05   71.04
1961      73.65   67.81   70.79
1962      73.78   67.82   70.85
1963      73.72   67.71   70.76
1964      74.57   68.41   71.55
1965      74.58   68.36   71.52
1966      74.50   68.28   71.44
1967      75.08   68.93   72.07
1968      74.72   68.57   71.69
1969      74.78   68.46   71.66
1970      75.00   68.71   71.90
1971      75.32   69.03   72.23
1972      75.07   68.84   72.00
1973      75.28   69.01   72.19
1974      75.45   69.22   72.38
1975      75.71   69.50   72.65
1976      75.68   69.53   72.64
1977      76.14   70.00   73.12
1978      76.08   69.95   73.06
1979      76.18   70.05   73.16
1980      76.57   70.51   73.59
1981      76.88   70.85   73.92
1982      76.95   71.04   74.04
1983      77.21   71.27   74.29
1984      77.56   71.68   74.68
1985      77.35   71.61   74.53
1986      77.67   71.82   74.80
1987      77.96   72.21   75.15
1988      78.06   72.33   75.26
1989      78.09   72.58   75.40
1990      78.50   72.84   75.74
1991      78.61   73.08   75.91
1992      78.96   73.51   76.30
1993      78.77   73.44   76.17
1994      79.31   73.99   76.72
1995      79.19   73.93   76.62
1996      79.41   74.23   76.88
1997      79.58   74.57   77.14
1998      79.72   74.72   77.28
1999      79.77   74.88   77.38
2000      80.20   75.39   77.86
2001      80.43   75.70   78.14
2002      80.53   75.86   78.26
2003      80.51   76.08   78.35
2004      81.08   76.65   78.93
2005      81.21   76.92   79.13
2006      81.50   77.13   79.37
2007      81.64   77.37   79.56
2008      81.69   77.56   79.68
2009      82.22   78.04   80.18
2010      82.35   78.37   80.41
2011      82.73   78.78   80.80
