New Zealand -- Maori, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1948      53.06   52.10   52.50
1949      50.35   51.99   51.20
1950      55.01   53.79   54.28
1951      56.66   54.54   55.59
1952      54.71   53.55   54.15
1953      58.38   55.08   56.57
1954      60.51   57.18   58.67
1955      59.07   58.08   58.61
1956      59.51   57.98   58.68
1957      58.13   56.39   57.24
1958      62.04   58.63   60.13
1959      60.67   59.65   60.18
1960      60.62   58.37   59.45
1961      61.98   58.54   60.11
1962      63.78   61.25   62.41
1963      64.00   62.05   62.97
1964      64.64   62.64   63.64
1965      65.67   61.48   63.37
1966      64.06   61.57   62.63
1967      65.50   62.25   63.77
1968      64.45   61.09   62.64
1969      65.41   60.50   62.68
1970      63.99   60.78   62.33
1971      64.78   60.66   62.59
1972      65.69   61.56   63.49
1973      66.31   61.08   63.50
1974      67.75   62.87   65.09
1975      67.20   62.73   64.79
1976      67.36   63.37   65.26
1977      66.80   62.78   64.70
1978      69.61   64.80   67.05
1979      69.55   64.25   66.73
1980      68.65   65.05   66.74
1981      69.87   65.36   67.46
1982      69.75   65.51   67.51
1983      70.53   65.17   67.66
1984      71.71   66.17   68.79
1985      70.97   67.19   69.04
1986      73.36   67.28   70.08
1987      73.17   68.48   70.78
1988      72.98   68.48   70.70
1989      72.94   68.09   70.49
1990      72.28   68.52   70.34
1991      73.29   68.20   70.70
1992      75.18   68.75   71.79
1993      73.89   68.72   71.27
1994      74.87   70.44   72.66
1995      75.03   69.96   72.47
1996      70.97   66.38   68.65
1997      71.89   67.15   69.50
1998      73.28   67.68   70.45
1999      72.88   67.58   70.20
2000      73.25   68.73   70.99
2001      73.40   69.87   71.68
2002      74.16   69.80   72.00
2003      74.69   69.61   72.13
2004      74.68   70.25   72.50
2005      75.34   71.01   73.23
2006      75.67   71.33   73.53
2007      76.36   71.33   73.90
2008      75.64   72.51   74.08
