Czech Republic, Life expectancy at birth (period, 1x1)     Last modified: 10-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1950      66.85   61.97   64.42
1951      67.72   62.75   65.25
1952      69.25   64.42   66.86
1953      69.92   65.13   67.56
1954      70.57   65.48   68.06
1955      71.55   66.32   68.97
1956      71.97   66.70   69.37
1957      71.69   66.31   69.04
1958      72.60   67.19   69.94
1959      72.71   67.06   69.92
1960      73.34   67.49   70.46
1961      73.55   67.62   70.63
1962      72.86   66.86   69.89
1963      73.48   67.27   70.41
1964      73.63   67.44   70.57
1965      73.38   67.08   70.26
1966      73.74   67.17   70.47
1967      73.66   67.03   70.35
1968      73.38   66.46   69.91
1969      73.06   65.84   69.41
1970      73.00   66.04   69.50
1971      73.37   66.15   69.73
1972      73.68   66.83   70.25
1973      73.69   66.53   70.09
1974      73.58   66.75   70.16
1975      74.00   67.00   70.49
1976      74.19   67.04   70.61
1977      74.20   67.11   70.65
1978      74.26   67.19   70.72
1979      74.34   67.32   70.82
1980      73.93   66.81   70.34
1981      74.40   67.21   70.79
1982      74.47   67.32   70.88
1983      74.31   67.05   70.64
1984      74.50   67.34   70.90
1985      74.77   67.50   71.11
1986      74.68   67.49   71.06
1987      75.20   67.86   71.51
1988      75.36   68.11   71.72
1989      75.43   68.12   71.76
1990      75.41   67.54   71.42
1991      75.74   68.22   71.96
1992      76.19   68.53   72.34
1993      76.43   69.25   72.85
1994      76.65   69.49   73.08
1995      76.66   69.67   73.19
1996      77.32   70.31   73.84
1997      77.43   70.43   73.95
1998      77.99   71.05   74.56
1999      78.08   71.33   74.74
2000      78.33   71.55   74.98
2001      78.51   72.02   75.32
2002      78.71   72.10   75.44
2003      78.65   72.08   75.40
2004      79.21   72.61   75.94
2005      79.28   72.95   76.15
2006      79.85   73.47   76.71
2007      80.07   73.69   76.92
2008      80.30   73.96   77.17
2009      80.29   74.16   77.26
2010      80.64   74.43   77.56
2011      80.86   74.71   77.81
