Denmark, Life expectancy at birth (period, 1x1)     Last modified: 26-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1835      40.21   36.65   38.37
1836      41.60   38.43   39.98
1837      43.07   39.97   41.49
1838      44.37   41.87   43.10
1839      42.67   41.07   41.86
1840      42.34   39.81   41.05
1841      43.51   41.73   42.62
1842      44.06   40.98   42.49
1843      45.12   42.62   43.86
1844      45.15   42.92   44.03
1845      44.60   42.12   43.35
1846      41.62   39.16   40.38
1847      41.64   39.21   40.41
1848      42.28   39.30   40.76
1849      41.56   37.54   39.52
1850      45.14   41.86   43.47
1851      46.18   42.85   44.49
1852      44.38   41.66   43.00
1853      39.83   37.28   38.52
1854      46.23   43.15   44.67
1855      47.10   45.17   46.13
1856      47.82   45.66   46.74
1857      43.38   41.54   42.45
1858      41.03   38.98   39.99
1859      45.60   43.19   44.38
1860      45.94   44.19   45.05
1861      48.99   46.24   47.59
1862      48.48   46.65   47.56
1863      48.49   46.57   47.52
1864      41.44   38.94   40.17
1865      40.76   38.83   39.78
1866      43.61   42.15   42.88
1867      45.80   44.02   44.90
1868      46.42   44.80   45.61
1869      46.74   45.42   46.08
1870      46.95   45.02   45.97
1871      46.95   45.19   46.06
1872      48.10   46.75   47.41
1873      48.16   46.81   47.47
1874      47.37   44.71   46.01
1875      45.42   43.51   44.44
1876      46.80   44.87   45.82
1877      48.32   46.37   47.33
1878      48.31   46.78   47.54
1879      47.31   45.16   46.22
1880      45.72   43.82   44.76
1881      49.25   47.29   48.26
1882      47.59   45.75   46.67
1883      49.56   47.44   48.48
1884      49.35   47.66   48.49
1885      50.82   48.41   49.60
1886      49.77   48.13   48.95
1887      49.62   47.68   48.65
1888      47.60   45.72   46.66
1889      49.10   46.47   47.77
1890      48.41   46.08   47.24
1891      47.86   45.66   46.75
1892      48.82   45.98   47.38
1893      48.27   45.84   47.05
1894      50.53   48.19   49.36
1895      52.17   49.52   50.83
1896      54.53   51.29   52.89
1897      53.35   50.23   51.77
1898      54.57   51.62   53.09
1899      52.40   48.91   50.63
1900      53.54   50.22   51.87
1901      54.50   50.72   52.59
1902      56.20   53.13   54.66
1903      56.32   53.18   54.75
1904      57.42   53.98   55.68
1905      55.73   52.90   54.31
1906      58.01   54.97   56.49
1907      57.46   54.66   56.06
1908      56.33   53.48   54.91
1909      58.88   55.85   57.37
1910      59.64   56.42   58.03
1911      58.68   55.22   56.95
1912      59.37   56.66   58.01
1913      60.12   57.60   58.87
1914      60.11   56.80   58.45
1915      59.89   56.87   58.38
1916      58.56   55.30   56.93
1917      58.51   56.02   57.26
1918      57.34   55.19   56.28
1919      57.83   56.19   57.00
1920      58.33   56.77   57.55
1921      62.50   60.97   61.73
1922      61.34   59.89   60.59
1923      62.08   60.28   61.17
1924      62.11   60.18   61.12
1925      62.68   61.18   61.91
1926      62.55   60.81   61.67
1927      61.87   60.50   61.17
1928      62.80   60.97   61.87
1929      62.76   61.14   61.93
1930      63.24   61.32   62.27
1931      62.89   60.84   61.84
1932      63.45   61.97   62.70
1933      64.48   62.77   63.61
1934      65.18   63.04   64.09
1935      63.84   61.91   62.86
1936      64.57   62.41   63.47
1937      65.18   62.76   63.95
1938      66.06   63.92   64.98
1939      66.94   64.71   65.81
1940      67.21   65.30   66.25
1941      67.09   64.90   65.98
1942      68.15   66.12   67.13
1943      68.42   66.44   67.43
1944      67.38   65.39   66.38
1945      67.20   64.98   66.07
1946      68.12   66.31   67.21
1947      69.64   67.43   68.53
1948      71.48   68.75   70.11
1949      71.41   68.86   70.13
1950      71.52   69.10   70.30
1951      72.16   69.71   70.93
1952      72.16   69.40   70.77
1953      72.46   69.86   71.15
1954      72.81   69.90   71.34
1955      73.47   70.39   71.92
1956      73.71   70.40   72.04
1957      73.49   70.15   71.81
1958      74.03   70.48   72.24
1959      73.87   70.59   72.22
1960      73.99   70.44   72.20
1961      74.38   70.56   72.45
1962      74.43   70.30   72.34
1963      74.48   70.41   72.42
1964      74.79   70.29   72.51
1965      74.65   70.19   72.39
1966      74.79   70.21   72.46
1967      75.35   70.60   72.94
1968      75.58   70.78   73.15
1969      75.70   70.85   73.24
1970      75.93   70.88   73.37
1971      76.15   70.80   73.43
1972      76.20   70.80   73.45
1973      76.53   70.96   73.69
1974      76.82   70.94   73.82
1975      77.00   71.28   74.09
1976      76.70   70.93   73.76
1977      77.67   71.73   74.66
1978      77.42   71.51   74.42
1979      77.40   71.19   74.24
1980      77.18   71.17   74.13
1981      77.36   71.25   74.25
1982      77.64   71.60   74.59
1983      77.55   71.44   74.46
1984      77.62   71.65   74.61
1985      77.48   71.53   74.48
1986      77.53   71.77   74.63
1987      77.79   71.74   74.74
1988      77.63   72.04   74.84
1989      77.76   71.98   74.86
1990      77.73   72.02   74.86
1991      77.98   72.47   75.23
1992      77.96   72.56   75.26
1993      77.77   72.59   75.18
1994      78.09   72.78   75.44
1995      77.83   72.72   75.28
1996      78.26   73.05   75.66
1997      78.47   73.56   76.03
1998      78.88   73.94   76.44
1999      78.89   74.20   76.58
2000      79.12   74.44   76.81
2001      79.21   74.67   76.97
2002      79.34   74.80   77.09
2003      80.05   75.28   77.69
2004      79.80   75.14   77.49
2005      80.45   75.94   78.22
2006      80.51   75.89   78.22
2007      80.53   76.13   78.35
2008      80.92   76.48   78.72
2009      81.03   76.83   78.96
2010      81.33   77.12   79.24
2011      81.83   77.70   79.79
