Northern Ireland, Life expectancy at birth (period, 1x1)     Last modified: 05-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1922      54.94   53.92   54.44
1923      55.83   55.32   55.56
1924      54.77   53.70   54.20
1925      54.75   54.11   54.40
1926      55.94   54.60   55.24
1927      56.84   56.63   56.73
1928      57.50   56.34   56.90
1929      55.66   54.70   55.14
1930      59.22   58.00   58.61
1931      58.23   57.08   57.64
1932      58.44   57.11   57.76
1933      58.06   56.21   57.13
1934      59.61   57.53   58.56
1935      57.62   55.86   56.73
1936      58.96   57.37   58.16
1937      58.65   57.47   58.07
1938      59.88   58.34   59.12
1939      61.84   59.45   60.64
1940      59.49   56.67   58.07
1941      59.01   56.53   57.76
1942      62.01   58.98   60.48
1943      62.28   59.60   60.93
1944      63.52   61.50   62.52
1945      64.24   62.53   63.40
1946      65.24   62.62   63.94
1947      65.63   62.54   64.09
1948      67.91   64.69   66.31
1949      67.92   65.14   66.55
1950      68.63   65.37   67.02
1951      67.72   64.45   66.10
1952      70.34   66.30   68.33
1953      70.65   66.51   68.59
1954      70.99   67.17   69.11
1955      70.83   67.28   69.09
1956      71.84   68.00   69.94
1957      71.78   67.46   69.64
1958      72.39   67.71   70.06
1959      72.06   67.76   69.94
1960      72.25   67.79   70.05
1961      72.57   67.08   69.82
1962      72.81   68.25   70.56
1963      72.55   67.57   70.07
1964      73.35   68.05   70.71
1965      73.48   68.16   70.84
1966      72.93   67.58   70.26
1967      74.37   68.95   71.68
1968      73.47   68.52   71.03
1969      73.62   67.76   70.69
1970      73.68   67.76   70.70
1971      74.26   68.10   71.17
1972      73.70   67.32   70.48
1973      73.40   66.55   69.92
1974      74.01   66.87   70.37
1975      74.33   67.68   70.99
1976      74.02   67.70   70.84
1977      74.55   67.84   71.16
1978      75.14   68.59   71.86
1979      75.09   68.26   71.64
1980      75.20   68.48   71.82
1981      75.79   69.24   72.52
1982      75.62   69.92   72.82
1983      76.29   69.88   73.10
1984      76.77   70.37   73.60
1985      76.69   70.47   73.61
1986      76.93   70.64   73.81
1987      77.43   71.37   74.46
1988      77.16   71.17   74.22
1989      77.64   71.66   74.70
1990      77.77   72.11   75.01
1991      78.28   72.36   75.39
1992      78.74   72.85   75.87
1993      78.22   72.63   75.49
1994      78.68   73.19   76.02
1995      78.66   73.24   76.04
1996      79.14   73.82   76.57
1997      79.40   74.13   76.86
1998      79.67   74.22   77.02
1999      79.15   74.15   76.74
2000      79.79   74.79   77.39
2001      80.34   75.18   77.86
2002      80.29   75.37   77.92
2003      80.64   75.87   78.35
2004      80.74   75.99   78.46
2005      81.17   75.95   78.64
2006      81.08   76.14   78.68
2007      81.37   76.24   78.87
2008      81.17   76.51   78.91
2009      81.42   77.19   79.39
2010      81.69   77.14   79.48
2011      82.39   77.82   80.17
