Japan, Life expectancy at birth (period, 1x1)     Last modified: 12-Mar-2014, MPv5 (May07)

Year     Female    Male   Total
1947      53.68   49.81   51.72
1948      58.66   55.05   56.86
1949      59.47   55.99   57.73
1950      60.91   57.59   59.25
1951      62.58   59.27   60.93
1952      64.68   61.27   62.98
1953      65.09   61.56   63.32
1954      66.60   62.51   64.54
1955      67.78   63.63   65.69
1956      67.68   63.45   65.55
1957      67.63   63.28   65.42
1958      69.33   64.78   67.04
1959      69.77   65.11   67.42
1960      70.15   65.32   67.70
1961      70.84   65.92   68.35
1962      71.13   66.20   68.63
1963      72.28   67.20   69.71
1964      72.77   67.64   70.18
1965      72.84   67.68   70.23
1966      73.66   68.46   71.04
1967      73.95   68.75   71.34
1968      74.29   69.06   71.66
1969      74.62   69.20   71.89
1970      74.67   69.32   71.99
1971      75.48   70.13   72.81
1972      75.93   70.53   73.24
1973      76.01   70.75   73.40
1974      76.36   71.25   73.83
1975      76.86   71.74   74.34
1976      77.28   72.12   74.74
1977      77.85   72.66   75.31
1978      78.21   72.95   75.64
1979      78.75   73.42   76.15
1980      78.75   73.38   76.12
1981      79.15   73.80   76.54
1982      79.71   74.25   77.05
1983      79.81   74.23   77.09
1984      80.25   74.59   77.49
1985      80.53   74.88   77.78
1986      80.96   75.26   78.20
1987      81.41   75.63   78.61
1988      81.31   75.57   78.53
1989      81.78   75.95   78.96
1990      81.85   75.93   78.97
1991      82.16   76.15   79.24
1992      82.28   76.12   79.28
1993      82.43   76.25   79.43
1994      82.89   76.58   79.82
1995      82.77   76.40   79.67
1996      83.49   77.02   80.35
1997      83.73   77.22   80.57
1998      83.92   77.18   80.64
1999      83.92   77.14   80.61
2000      84.54   77.68   81.20
2001      84.87   78.02   81.54
2002      85.17   78.28   81.82
2003      85.27   78.31   81.88
2004      85.52   78.60   82.16
2005      85.45   78.50   82.05
2006      85.74   78.93   82.43
2007      85.93   79.12   82.61
2008      86.00   79.24   82.70
2009      86.39   79.55   83.06
2010      86.30   79.56   83.00
2011      85.92   79.46   82.77
2012      86.43   79.96   83.27
