Australia, Life expectancy at birth (period, 1x1)     Last modified: 24-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1921      63.24   59.12   61.00
1922      65.16   60.88   62.85
1923      63.67   59.98   61.68
1924      64.52   60.74   62.47
1925      65.38   61.27   63.16
1926      65.07   60.98   62.86
1927      64.85   61.09   62.83
1928      64.71   61.32   62.90
1929      65.38   61.09   63.07
1930      66.88   63.14   64.89
1931      67.31   63.54   65.30
1932      67.59   63.83   65.59
1933      67.46   63.67   65.44
1934      66.70   63.11   64.81
1935      67.20   63.20   65.09
1936      67.22   63.42   65.22
1937      67.99   63.81   65.78
1938      67.98   63.86   65.81
1939      68.11   63.68   65.78
1940      68.70   64.01   66.23
1941      68.29   64.12   66.11
1942      67.95   63.94   65.85
1943      68.30   64.62   66.38
1944      69.86   66.30   68.02
1945      70.35   66.67   68.45
1946      70.22   65.91   67.97
1947      71.03   66.33   68.58
1948      71.05   66.16   68.50
1949      71.82   66.67   69.13
1950      71.75   66.53   69.02
1951      71.61   66.09   68.72
1952      72.06   66.45   69.12
1953      72.57   67.06   69.70
1954      72.79   67.17   69.86
1955      73.25   67.34   70.16
1956      73.05   67.29   70.04
1957      73.46   67.45   70.32
1958      74.04   67.96   70.87
1959      73.74   67.43   70.44
1960      74.05   67.94   70.87
1961      74.51   68.05   71.13
1962      74.28   67.81   70.90
1963      74.29   67.89   70.95
1964      73.98   67.51   70.59
1965      74.34   67.80   70.92
1966      74.15   67.67   70.77
1967      74.56   67.83   71.04
1968      74.19   67.47   70.67
1969      74.70   67.77   71.08
1970      74.29   67.49   70.74
1971      74.77   68.16   71.35
1972      75.42   68.56   71.87
1973      75.66   68.72   72.06
1974      75.46   68.45   71.82
1975      76.42   69.35   72.77
1976      76.42   69.43   72.81
1977      77.00   70.00   73.40
1978      77.41   70.35   73.79
1979      77.97   70.89   74.34
1980      78.18   71.01   74.50
1981      78.51   71.37   74.86
1982      78.20   71.22   74.63
1983      78.83   72.14   75.44
1984      79.21   72.66   75.90
1985      78.60   72.17   75.34
1986      79.22   72.86   76.01
1987      79.47   73.00   76.19
1988      79.50   73.05   76.23
1989      79.49   73.24   76.33
1990      80.06   73.83   76.92
1991      80.45   74.40   77.41
1992      80.43   74.43   77.41
1993      80.93   74.96   77.94
1994      80.89   74.99   77.93
1995      81.18   75.44   78.31
1996      81.30   75.48   78.38
1997      81.41   75.87   78.65
1998      81.94   76.29   79.13
1999      82.15   76.59   79.38
2000      82.40   77.12   79.78
2001      82.71   77.51   80.13
2002      82.58   77.65   80.14
2003      83.01   78.05   80.55
2004      83.30   78.43   80.89
2005      83.66   78.91   81.31
2006      83.79   79.17   81.50
2007      83.78   79.27   81.54
2008      83.74   79.24   81.49
2009      84.16   79.70   81.94
