Switzerland, Life expectancy at birth (period, 1x1)     Last modified: 27-Jan-2014, MPv5 (May07)

Year     Female    Male   Total
1876      41.81   38.38   40.05
1877      41.52   38.51   39.98
1878      41.77   39.17   40.45
1879      43.39   40.26   41.80
1880      43.94   40.87   42.38
1881      43.17   40.58   41.85
1882      44.37   41.62   42.98
1883      46.00   43.94   44.95
1884      46.31   43.81   45.04
1885      45.10   42.65   43.86
1886      45.87   43.51   44.68
1887      46.72   44.13   45.42
1888      47.30   44.63   45.95
1889      46.23   44.04   45.13
1890      46.32   43.60   44.95
1891      46.13   43.32   44.71
1892      48.62   45.83   47.21
1893      47.33   44.79   46.05
1894      47.01   44.57   45.78
1895      48.34   45.39   46.85
1896      50.43   47.34   48.87
1897      50.52   47.69   49.10
1898      49.81   46.59   48.19
1899      51.05   47.56   49.29
1900      48.84   46.14   47.48
1901      50.59   47.32   48.94
1902      51.76   49.08   50.42
1903      51.29   48.80   50.05
1904      50.39   47.93   49.16
1905      51.10   48.23   49.66
1906      52.18   49.26   50.71
1907      52.71   49.62   51.15
1908      53.87   50.67   52.26
1909      53.11   50.12   51.61
1910      54.64   51.23   52.93
1911      53.37   50.11   51.73
1912      56.10   52.72   54.41
1913      55.94   52.47   54.19
1914      56.76   53.44   55.09
1915      57.50   54.30   55.90
1916      58.12   54.96   56.54
1917      57.43   54.10   55.76
1918      48.98   43.79   46.33
1919      55.99   53.83   54.92
1920      55.63   53.02   54.33
1921      59.48   56.13   57.80
1922      59.66   57.25   58.47
1923      61.75   58.24   60.00
1924      61.02   57.89   59.47
1925      61.41   58.40   59.92
1926      62.15   59.02   60.60
1927      61.57   58.55   60.07
1928      62.20   58.66   60.44
1929      62.06   58.22   60.15
1930      63.49   59.31   61.41
1931      63.01   59.39   61.22
1932      63.02   59.34   61.20
1933      64.22   60.49   62.38
1934      64.92   60.75   62.85
1935      63.95   60.21   62.10
1936      65.26   61.00   63.15
1937      65.42   61.50   63.49
1938      65.63   61.96   63.82
1939      66.05   61.86   63.98
1940      65.68   61.36   63.54
1941      67.03   62.80   64.95
1942      67.75   63.41   65.62
1943      68.00   63.54   65.80
1944      67.04   62.59   64.84
1945      67.38   63.31   65.37
1946      67.77   64.24   66.04
1947      68.34   64.07   66.23
1948      69.42   65.13   67.31
1949      70.04   65.77   67.94
1950      71.09   66.65   68.91
1951      70.97   66.34   68.69
1952      71.85   67.24   69.59
1953      71.88   67.05   69.50
1954      72.30   67.58   69.98
1955      72.34   67.69   70.06
1956      72.64   67.67   70.19
1957      73.17   67.84   70.54
1958      73.94   68.55   71.29
1959      74.10   68.71   71.44
1960      74.11   68.65   71.41
1961      74.58   68.84   71.74
1962      74.09   68.44   71.30
1963      74.23   68.29   71.28
1964      75.11   69.19   72.18
1965      75.07   69.47   72.31
1966      75.25   69.56   72.44
1967      75.72   69.69   72.74
1968      75.53   69.80   72.70
1969      75.65   69.71   72.71
1970      76.16   70.03   73.12
1971      76.25   70.16   73.23
1972      76.82   70.62   73.75
1973      77.05   70.98   74.06
1974      77.55   71.17   74.40
1975      78.00   71.49   74.78
1976      78.14   71.60   74.91
1977      78.67   71.96   75.36
1978      78.65   71.88   75.30
1979      78.78   72.31   75.60
1980      78.85   72.23   75.58
1981      79.13   72.42   75.81
1982      79.43   72.78   76.16
1983      79.55   72.68   76.15
1984      80.03   73.35   76.75
1985      80.15   73.48   76.87
1986      80.30   73.66   77.03
1987      80.66   73.90   77.34
1988      80.72   73.88   77.36
1989      80.93   74.07   77.56
1990      80.71   73.94   77.37
1991      81.09   74.10   77.64
1992      81.32   74.44   77.94
1993      81.41   74.89   78.23
1994      81.70   75.14   78.50
1995      81.68   75.29   78.56
1996      81.98   75.93   79.05
1997      82.02   76.24   79.23
1998      82.46   76.30   79.47
1999      82.49   76.77   79.73
2000      82.56   76.92   79.83
2001      82.96   77.36   80.26
2002      82.95   77.72   80.44
2003      82.99   77.90   80.54
2004      83.51   78.46   81.09
2005      83.70   78.59   81.25
2006      83.84   79.01   81.53
2007      83.97   79.26   81.71
2008      84.19   79.59   81.99
2009      84.20   79.63   82.00
2010      84.39   80.05   82.31
2011      84.68   80.28   82.57
