Luxembourg, Life expectancy at birth (period, 1x1)     Last modified: 28-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1960      72.16   66.05   69.01
1961      72.46   66.78   69.54
1962      71.82   65.65   68.63
1963      71.93   65.95   68.86
1964      72.98   65.42   69.04
1965      72.93   66.08   69.39
1966      72.50   66.27   69.30
1967      73.03   66.53   69.68
1968      73.35   67.33   70.27
1969      73.30   66.56   69.84
1970      72.92   66.40   69.58
1971      72.95   66.17   69.46
1972      73.88   67.63   70.68
1973      74.45   66.75   70.47
1974      74.31   66.97   70.54
1975      74.14   67.03   70.50
1976      74.07   67.00   70.45
1977      75.77   67.92   71.74
1978      75.25   68.26   71.70
1979      75.97   68.83   72.38
1980      75.17   69.85   72.56
1981      75.86   68.85   72.35
1982      76.06   68.83   72.44
1983      76.82   69.78   73.33
1984      76.57   69.58   73.11
1985      76.95   70.21   73.65
1986      78.36   70.71   74.56
1987      77.57   70.56   74.12
1988      78.45   70.93   74.73
1989      77.98   71.22   74.66
1990      78.22   72.30   75.37
1991      78.85   71.93   75.45
1992      78.22   71.89   75.12
1993      79.20   72.12   75.73
1994      79.43   73.11   76.36
1995      79.90   72.87   76.43
1996      79.57   73.16   76.44
1997      79.38   73.93   76.77
1998      80.09   73.63   76.94
1999      80.67   74.25   77.55
2000      80.74   74.45   77.68
2001      80.41   75.00   77.81
2002      81.18   74.57   77.93
2003      80.76   74.77   77.80
2004      82.15   75.95   79.10
2005      82.02   76.64   79.38
2006      81.68   76.72   79.23
2007      81.98   76.66   79.38
2008      82.73   78.02   80.48
2009      82.90   78.01   80.56
