Norway, Life expectancy at birth (period, 1x1)     Last modified: 28-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1846      49.66   46.42   48.03
1847      46.06   43.45   44.75
1848      46.68   43.34   44.99
1849      49.82   46.30   48.04
1850      51.29   47.76   49.51
1851      51.50   47.96   49.72
1852      49.93   46.97   48.46
1853      49.33   46.46   47.90
1854      53.30   49.91   51.62
1855      52.27   48.58   50.43
1856      51.85   48.83   50.35
1857      51.61   48.79   50.21
1858      53.09   50.03   51.57
1859      51.28   48.54   49.91
1860      51.30   48.66   49.98
1861      46.92   44.65   45.80
1862      45.78   43.59   44.69
1863      48.15   45.25   46.70
1864      49.95   47.61   48.78
1865      51.85   48.96   50.41
1866      51.48   48.34   49.91
1867      49.54   46.20   47.86
1868      48.94   45.40   47.16
1869      50.99   47.52   49.25
1870      52.55   49.17   50.85
1871      51.41   47.95   49.67
1872      51.57   48.46   50.02
1873      51.15   48.17   49.67
1874      49.22   46.28   47.76
1875      49.15   46.09   47.62
1876      48.30   45.32   46.80
1877      51.20   48.29   49.74
1878      53.18   50.38   51.78
1879      54.37   51.93   53.14
1880      53.28   50.49   51.89
1881      51.86   49.02   50.44
1882      48.48   46.24   47.37
1883      50.71   48.48   49.59
1884      52.01   49.51   50.76
1885      52.31   49.75   51.04
1886      52.89   50.49   51.70
1887      52.77   50.56   51.68
1888      51.65   49.06   50.37
1889      50.42   47.64   49.06
1890      50.03   47.12   48.61
1891      51.42   48.12   49.80
1892      51.45   47.85   49.67
1893      53.27   49.48   51.40
1894      52.41   48.78   50.61
1895      54.41   51.15   52.79
1896      55.89   51.75   53.82
1897      55.65   51.75   53.71
1898      55.77   52.12   53.96
1899      53.42   49.78   51.60
1900      55.15   51.77   53.47
1901      56.45   52.71   54.59
1902      57.99   54.94   56.48
1903      56.46   53.45   54.97
1904      57.33   54.78   56.08
1905      56.19   53.95   55.10
1906      58.12   55.64   56.90
1907      57.87   55.05   56.49
1908      57.57   54.97   56.29
1909      58.87   55.99   57.47
1910      59.51   56.40   57.99
1911      59.63   56.35   58.02
1912      59.23   56.18   57.73
1913      60.02   56.55   58.31
1914      59.46   56.10   57.80
1915      59.82   56.45   58.16
1916      59.10   55.34   57.23
1917      59.33   56.09   57.72
1918      52.07   48.55   50.32
1919      58.10   55.48   56.79
1920      60.17   57.52   58.86
1921      62.87   60.23   61.57
1922      61.91   59.62   60.78
1923      62.99   60.56   61.80
1924      63.27   60.89   62.11
1925      63.96   61.02   62.51
1926      64.51   61.94   63.25
1927      64.40   61.27   62.85
1928      64.68   62.07   63.40
1929      63.89   60.99   62.46
1930      65.60   62.57   64.10
1931      65.50   62.71   64.12
1932      65.90   63.27   64.60
1933      66.91   64.03   65.48
1934      67.70   64.70   66.22
1935      67.28   64.35   65.83
1936      67.36   64.26   65.82
1937      67.66   64.38   66.02
1938      68.97   65.18   67.08
1939      69.04   65.64   67.35
1940      68.63   63.23   65.88
1941      68.27   63.34   65.77
1942      68.63   62.89   65.71
1943      69.05   63.29   66.12
1944      68.68   63.05   65.81
1945      70.45   65.96   68.18
1946      71.27   67.76   69.51
1947      71.67   68.34   70.00
1948      72.87   69.39   71.13
1949      73.08   69.98   71.53
1950      73.25   69.91   71.58
1951      74.29   70.76   72.52
1952      74.31   71.00   72.66
1953      75.06   71.23   73.14
1954      75.10   71.34   73.22
1955      75.34   71.53   73.43
1956      75.53   71.46   73.49
1957      75.54   71.37   73.44
1958      75.52   71.35   73.42
1959      75.79   71.36   73.55
1960      75.86   71.33   73.57
1961      76.05   71.16   73.57
1962      76.05   70.97   73.46
1963      75.49   70.78   73.10
1964      76.08   71.23   73.61
1965      76.52   71.05   73.72
1966      76.70   71.41   74.00
1967      76.94   71.33   74.07
1968      76.79   71.22   73.95
1969      76.66   70.80   73.65
1970      77.31   71.00   74.07
1971      77.34   71.14   74.16
1972      77.49   71.32   74.33
1973      77.68   71.32   74.42
1974      77.93   71.68   74.74
1975      78.03   71.70   74.79
1976      78.16   72.00   75.01
1977      78.61   72.23   75.35
1978      78.55   72.32   75.38
1979      78.74   72.12   75.35
1980      79.09   72.32   75.62
1981      79.17   72.58   75.80
1982      79.43   72.58   75.93
1983      79.45   72.67   75.99
1984      79.49   72.93   76.15
1985      79.31   72.52   75.84
1986      79.47   72.61   75.97
1987      79.30   72.49   75.83
1988      79.25   72.71   75.93
1989      79.58   73.04   76.26
1990      79.56   73.18   76.33
1991      79.91   73.83   76.85
1992      80.35   74.16   77.24
1993      80.22   74.22   77.20
1994      80.65   74.89   77.78
1995      80.81   74.79   77.80
1996      81.06   75.37   78.23
1997      80.97   75.46   78.23
1998      81.26   75.53   78.41
1999      81.12   75.61   78.38
2000      81.37   75.95   78.69
2001      81.51   76.20   78.89
2002      81.45   76.40   78.96
2003      81.93   77.03   79.53
2004      82.32   77.50   79.96
2005      82.52   77.74   80.18
2006      82.68   78.13   80.46
2007      82.68   78.25   80.51
2008      82.97   78.34   80.69
2009      83.08   78.62   80.89
