"year","age","sex","group","chronic_liver_disease","poisonings","suicides","vehicle_transport","alcohol_induced","assault_homicide","drug_induced","legal_intervention","motor_accidents","all_cause","population"
1999,10,"Male","Black Non-Hispanic",0,0,1,21,0,2,0,0,19,102,341504
1999,10,"Male","Hispanic",0,0,1,13,0,2,0,0,11,40,322393
1999,10,"Male","White Non-Hispanic",0,0,5,59,0,11,1,0,53,238,1.35313e+006
1999,11,"Female","Black Non-Hispanic",0,1,1,19,0,5,1,0,19,71,309598
1999,11,"Female","Hispanic",0,0,0,6,0,4,0,0,6,30,291709
1999,11,"Female","White Non-Hispanic",0,0,1,42,0,3,0,0,39,182,1.26136e+006
1999,11,"Male","Black Non-Hispanic",0,0,2,27,0,5,0,0,23,114,317319
1999,11,"Male","Hispanic",0,0,3,18,0,7,0,0,17,61,311538
1999,11,"Male","White Non-Hispanic",0,1,14,66,0,7,1,0,60,219,1.33024e+006
1999,12,"Female","Black Non-Hispanic",0,0,3,8,0,4,0,0,8,61,301780
1999,12,"Female","Hispanic",0,0,1,9,0,2,0,0,9,53,272999
1999,12,"Female","White Non-Hispanic",0,1,6,40,0,9,2,0,36,179,1.26935e+006
1999,12,"Male","Black Non-Hispanic",0,0,6,12,0,3,0,0,10,85,311142
1999,12,"Male","Hispanic",0,0,2,13,0,5,0,0,13,54,282807
1999,12,"Male","White Non-Hispanic",0,1,14,73,0,8,1,0,63,263,1.34007e+006
1999,13,"Female","Black Non-Hispanic",0,0,2,7,0,10,0,0,6,71,294341
1999,13,"Female","Hispanic",0,0,1,10,0,2,0,0,10,36,265614
1999,13,"Female","White Non-Hispanic",0,0,4,54,0,10,0,0,47,168,1.27166e+006
1999,13,"Male","Black Non-Hispanic",0,1,4,21,0,12,1,0,20,119,303463
1999,13,"Male","Hispanic",0,0,7,20,0,7,1,0,15,79,290780
1999,13,"Male","White Non-Hispanic",0,3,34,99,0,10,3,0,86,334,1.34564e+006
1999,14,"Female","Black Non-Hispanic",0,0,1,11,0,5,0,0,11,72,296423
1999,14,"Female","Hispanic",0,0,7,22,0,6,0,0,22,62,270973
1999,14,"Female","White Non-Hispanic",0,1,22,89,1,17,3,0,82,261,1.28116e+006
1999,14,"Male","Black Non-Hispanic",0,0,9,24,0,33,0,1,22,153,305631
1999,14,"Male","Hispanic",0,2,8,22,1,22,1,0,21,92,277433
1999,14,"Male","White Non-Hispanic",0,3,73,158,0,16,6,0,137,474,1.35698e+006
1999,15,"Female","Black Non-Hispanic",1,0,4,16,0,11,0,0,15,69,288170
1999,15,"Female","Hispanic",0,1,4,13,1,7,2,0,11,56,259832
1999,15,"Female","White Non-Hispanic",1,2,40,153,0,18,9,0,144,361,1.24727e+006
1999,15,"Male","Black Non-Hispanic",0,0,10,46,0,49,0,0,44,208,298426
1999,15,"Male","Hispanic",0,1,11,36,0,36,2,1,34,141,293595
1999,15,"Male","White Non-Hispanic",0,4,87,199,0,23,5,1,184,611,1.32485e+006
1999,16,"Female","Black Non-Hispanic",0,1,3,42,0,25,1,0,41,135,290319
1999,16,"Female","Hispanic",0,1,6,26,1,6,2,0,24,80,278374
1999,16,"Female","White Non-Hispanic",1,8,34,314,0,14,13,0,303,536,1.27217e+006
1999,16,"Male","Black Non-Hispanic",0,1,19,54,0,117,3,0,52,297,304023
1999,16,"Male","Hispanic",0,1,23,57,0,62,1,0,56,190,302173
1999,16,"Male","White Non-Hispanic",0,11,163,458,3,48,12,0,439,1015,1.35073e+006
1999,17,"Female","Black Non-Hispanic",0,0,2,33,0,29,0,0,31,138,292924
1999,17,"Female","Hispanic",0,3,7,38,0,13,4,0,38,100,268822
1999,17,"Female","White Non-Hispanic",1,7,31,368,0,25,11,0,354,614,1.26984e+006
1999,17,"Male","Black Non-Hispanic",0,4,34,83,1,199,4,3,78,447,304330
1999,17,"Male","Hispanic",0,2,31,88,1,87,3,1,83,294,328243
1999,17,"Male","White Non-Hispanic",0,33,204,561,2,60,38,2,531,1183,1.34708e+006
1999,18,"Female","Black Non-Hispanic",1,1,7,37,0,41,2,0,37,164,289691
1999,18,"Female","Hispanic",1,3,4,50,0,18,4,0,49,104,284415
1999,18,"Female","White Non-Hispanic",0,13,33,336,2,32,21,0,325,593,1.25581e+006
1999,18,"Male","Black Non-Hispanic",0,5,45,105,2,267,5,3,102,569,291572
1999,18,"Male","Hispanic",2,10,32,126,2,119,13,0,121,377,337645
1999,18,"Male","White Non-Hispanic",0,48,262,660,3,74,61,1,633,1453,1.30652e+006
1999,19,"Female","Black Non-Hispanic",0,1,8,42,0,42,1,0,41,174,306651
1999,19,"Female","Hispanic",0,2,8,35,0,13,4,0,34,99,291726
1999,19,"Female","White Non-Hispanic",0,22,53,274,0,37,36,0,267,587,1.30034e+006
1999,19,"Male","Black Non-Hispanic",0,5,44,108,1,337,7,4,103,612,300669
1999,19,"Male","Hispanic",1,9,49,143,1,121,15,3,137,430,353072
1999,19,"Male","White Non-Hispanic",0,61,262,709,1,78,76,1,680,1537,1.33125e+006
1999,20,"Female","Black Non-Hispanic",1,1,7,38,0,42,3,0,38,196,289498
1999,20,"Female","Hispanic",1,2,5,24,0,20,4,0,24,103,288838
1999,20,"Female","White Non-Hispanic",0,31,37,223,3,48,41,0,216,544,1.2262e+006
1999,20,"Male","Black Non-Hispanic",0,11,46,105,1,293,11,6,101,611,281816
1999,20,"Male","Hispanic",0,18,49,149,4,116,22,2,138,452,358980
1999,20,"Male","White Non-Hispanic",0,81,299,596,5,66,94,1,560,1463,1.26097e+006
1999,21,"Female","Black Non-Hispanic",2,3,5,37,1,42,6,0,37,197,269980
1999,21,"Female","Hispanic",0,2,4,40,0,10,2,0,37,100,287613
1999,21,"Female","White Non-Hispanic",0,27,51,200,2,28,44,0,189,524,1.17549e+006
1999,21,"Male","Black Non-Hispanic",1,10,50,104,2,313,12,5,99,647,259037
1999,21,"Male","Hispanic",0,20,29,146,3,140,21,3,141,448,348297
1999,21,"Male","White Non-Hispanic",0,104,307,582,10,83,117,4,549,1480,1.21039e+006
1999,22,"Female","Black Non-Hispanic",1,2,10,36,0,29,4,0,35,189,266021
1999,22,"Female","Hispanic",1,2,5,36,0,11,4,0,36,100,288636
1999,22,"Female","White Non-Hispanic",0,29,37,165,2,48,39,0,158,503,1.14623e+006
1999,22,"Male","Black Non-Hispanic",0,17,72,104,0,293,20,3,102,675,252031
1999,22,"Male","Hispanic",0,19,37,143,5,105,21,2,133,428,351400
1999,22,"Male","White Non-Hispanic",1,82,262,509,6,78,100,2,482,1336,1.17669e+006
1999,23,"Female","Black Non-Hispanic",1,6,5,36,0,26,8,0,35,197,250680
1999,23,"Female","Hispanic",0,1,7,30,0,17,3,0,29,120,294238
1999,23,"Female","White Non-Hispanic",1,25,50,143,1,26,37,0,138,469,1.09345e+006
1999,23,"Male","Black Non-Hispanic",2,11,43,114,1,301,15,3,114,651,233807
1999,23,"Male","Hispanic",0,16,40,127,4,106,18,0,124,387,352380
1999,23,"Male","White Non-Hispanic",0,74,299,465,4,73,94,6,429,1325,1.12523e+006
1999,24,"Female","Black Non-Hispanic",0,5,4,31,1,32,5,0,30,235,255494
1999,24,"Female","Hispanic",0,1,3,27,0,14,1,0,25,96,281885
1999,24,"Female","White Non-Hispanic",0,30,48,126,2,42,41,0,121,460,1.12576e+006
1999,24,"Male","Black Non-Hispanic",0,14,45,79,0,264,16,4,74,569,235779
1999,24,"Male","Hispanic",2,24,37,118,5,98,26,1,110,400,357180
1999,24,"Male","White Non-Hispanic",2,110,271,426,3,61,130,2,397,1274,1.14886e+006
1999,25,"Female","Black Non-Hispanic",1,3,3,32,0,44,4,0,31,238,258333
1999,25,"Female","Hispanic",0,2,8,21,0,7,3,0,20,107,294438
1999,25,"Female","White Non-Hispanic",2,31,43,129,1,33,40,0,123,502,1.12391e+006
1999,25,"Male","Black Non-Hispanic",0,13,48,89,0,228,15,4,85,528,236413
1999,25,"Male","Hispanic",0,20,35,110,7,85,21,4,103,355,356536
1999,25,"Male","White Non-Hispanic",0,104,267,377,4,66,125,6,348,1283,1.14651e+006
1999,26,"Female","Black Non-Hispanic",1,4,8,17,2,32,6,0,17,216,260004
1999,26,"Female","Hispanic",1,5,6,27,0,11,7,0,27,120,298049
1999,26,"Female","White Non-Hispanic",3,36,49,130,4,38,44,0,123,528,1.13614e+006
1999,26,"Male","Black Non-Hispanic",0,20,45,92,1,229,27,5,85,581,234818
1999,26,"Male","Hispanic",0,28,42,133,3,94,31,1,126,432,351556
1999,26,"Male","White Non-Hispanic",2,100,278,340,6,73,119,8,307,1255,1.14891e+006
1999,27,"Female","Black Non-Hispanic",2,8,9,21,1,40,8,0,21,268,274886
1999,27,"Female","Hispanic",0,6,8,23,0,15,12,0,22,114,284932
1999,27,"Female","White Non-Hispanic",1,30,61,134,2,33,53,0,127,598,1.248e+006
1999,27,"Male","Black Non-Hispanic",3,27,40,73,2,194,29,6,71,585,250857
1999,27,"Male","Hispanic",2,25,40,99,10,78,30,2,89,380,350762
1999,27,"Male","White Non-Hispanic",4,126,292,374,15,71,148,3,346,1418,1.26048e+006
1999,28,"Female","Black Non-Hispanic",5,5,7,30,2,26,9,0,26,298,283813
1999,28,"Female","Hispanic",0,5,4,21,1,13,6,0,19,107,302049
1999,28,"Female","White Non-Hispanic",4,39,80,120,3,30,64,0,111,662,1.34287e+006
1999,28,"Male","Black Non-Hispanic",1,27,57,105,2,224,37,4,101,690,254745
1999,28,"Male","Hispanic",0,29,39,95,5,82,37,1,88,389,350797
1999,28,"Male","White Non-Hispanic",9,117,295,400,20,73,147,6,369,1474,1.35637e+006
1999,29,"Female","Black Non-Hispanic",2,13,2,33,0,50,16,0,33,332,281140
1999,29,"Female","Hispanic",0,6,7,26,1,8,9,0,25,123,300686
1999,29,"Female","White Non-Hispanic",6,56,65,132,6,37,92,0,124,702,1.36286e+006
1999,29,"Male","Black Non-Hispanic",1,24,39,74,4,195,32,5,70,654,250526
1999,29,"Male","Hispanic",4,45,31,79,6,89,55,2,74,400,347103
1999,29,"Male","White Non-Hispanic",14,151,346,366,27,77,188,5,323,1626,1.38228e+006
1999,30,"Female","Black Non-Hispanic",4,14,6,24,3,31,20,0,22,348,276946
1999,30,"Female","Hispanic",2,7,7,28,1,12,9,0,26,142,294892
1999,30,"Female","White Non-Hispanic",9,51,76,111,9,46,83,0,105,735,1.35714e+006
1999,30,"Male","Black Non-Hispanic",2,22,42,80,7,162,25,3,72,643,251768
1999,30,"Male","Hispanic",7,30,35,82,10,56,37,3,73,385,350088
1999,30,"Male","White Non-Hispanic",8,143,315,337,24,69,172,9,308,1569,1.38979e+006
1999,31,"Female","Black Non-Hispanic",2,12,11,28,4,36,18,0,27,373,267952
1999,31,"Female","Hispanic",5,4,4,15,4,9,8,0,15,132,263617
1999,31,"Female","White Non-Hispanic",12,57,78,118,11,30,77,0,108,784,1.28937e+006
