Netherlands, Life expectancy at birth (cohort, 1x1)     Last modified: 15-Jun-2011, MPv5 (May07)

Year     Female    Male   Total
1850      42.06   40.24   41.13
1851      41.64   39.55   40.57
1852      41.15   38.82   39.96
1853      41.32   39.43   40.35
1854      41.08   39.00   40.02
1855      40.79   38.97   39.86
1856      41.26   39.26   40.24
1857      39.70   37.58   38.62
1858      40.10   38.06   39.06
1859      40.88   38.77   39.81
1860      42.52   40.53   41.51
1861      42.46   39.95   41.17
1862      43.04   41.31   42.15
1863      43.63   41.19   42.38
1864      43.51   41.10   42.28
1865      42.92   40.45   41.66
1866      44.35   41.99   43.14
1867      44.09   41.96   43.00
1868      43.84   41.10   42.44
1869      44.81   42.39   43.58
1870      43.83   41.47   42.63
1871      44.45   41.92   43.16
1872      45.95   43.61   44.76
1873      47.01   44.50   45.73
1874      46.55   44.11   45.30
1875      46.60   43.73   45.13
1876      47.16   44.68   45.89
1877      47.66   45.30   46.45
1878      48.03   45.27   46.61
1879      48.22   45.20   46.67
1880      47.92   45.05   46.45
1881      49.13   46.30   47.68
1882      49.51   46.72   48.09
1883      49.35   46.40   47.85
1884      49.81   46.89   48.32
1885      51.28   48.24   49.73
1886      51.30   47.90   49.57
1887      51.98   49.26   50.60
1888      52.14   49.26   50.67
1889      52.41   48.84   50.59
1890      53.08   49.22   51.12
1891      54.05   50.12   52.05
1892      54.61   50.63   52.59
1893      55.17   50.81   52.96
1894      56.33   51.84   54.06
1895      56.25   51.39   53.79
1896      57.40   52.82   55.10
1897      57.60   52.29   54.93
1898      57.73   52.37   55.02
1899      57.76   52.18   54.94
1900      58.08   52.21   55.12
1901      59.17   53.28   56.21
1902      60.80   54.70   57.71
1903      60.46   54.36   57.39
1904      61.23   55.21   58.20
1905      62.23   55.54   58.87
1906      62.38   55.92   59.15
1907      63.39   56.62   59.99
1908      64.18   56.86   60.49
1909      65.10   58.18   61.63
1910      64.79   57.56   61.15
1911      64.48   57.20   60.82
1912      67.13   59.75   63.42
1913      66.52   59.39   62.94
1914      66.62   59.15   62.84
1915      67.20   59.56   63.33
1916      67.21   59.45   63.28
1917      67.08   59.25   63.11
1918      67.96   59.74   63.78
