Denmark, Life expectancy at birth (cohort, 1x1)     Last modified: 20-Dec-2012, MPv5 (May07)

Year     Female    Male   Total
1835      45.40   42.46   43.92
1836      45.57   43.00   44.27
1837      45.82   43.28   44.54
1838      45.00   42.67   43.82
1839      45.93   43.21   44.56
1840      45.81   43.29   44.54
1841      45.79   43.80   44.78
1842      46.08   43.77   44.91
1843      46.10   43.76   44.93
1844      45.77   43.55   44.66
1845      44.05   41.48   42.75
1846      43.53   40.88   42.19
1847      44.45   42.00   43.22
1848      45.56   42.88   44.21
1849      45.98   43.70   44.84
1850      45.74   43.90   44.81
1851      44.88   43.00   43.93
1852      44.30   42.06   43.17
1853      45.52   43.06   44.28
1854      46.75   45.08   45.92
1855      47.43   45.62   46.52
1856      47.06   45.24   46.16
1857      47.34   45.60   46.47
1858      48.29   46.29   47.30
1859      48.90   46.97   47.93
1860      48.59   46.90   47.75
1861      48.04   46.44   47.25
1862      47.58   46.16   46.88
1863      47.69   45.74   46.72
1864      47.49   45.62   46.57
1865      49.16   47.53   48.35
1866      50.13   48.58   49.35
1867      50.19   48.45   49.32
1868      50.50   48.78   49.64
1869      51.25   49.17   50.22
1870      51.59   49.66   50.61
1871      51.29   50.05   50.66
1872      51.77   50.27   51.01
1873      51.03   49.36   50.18
1874      50.33   48.68   49.49
1875      50.82   49.32   50.06
1876      51.81   50.44   51.11
1877      51.94   50.79   51.36
1878      52.13   50.76   51.43
1879      51.68   50.13   50.89
1880      53.02   51.24   52.12
1881      53.20   51.51   52.35
1882      53.04   51.31   52.17
1883      53.57   51.78   52.67
1884      54.46   52.46   53.45
1885      54.54   52.59   53.56
1886      54.00   51.86   52.93
1887      54.57   52.20   53.39
1888      54.79   52.31   53.55
1889      54.68   51.88   53.28
1890      56.01   53.16   54.59
1891      56.45   53.18   54.81
1892      57.09   53.30   55.20
1893      57.57   54.06   55.82
1894      58.81   55.17   56.98
1895      59.75   55.53   57.64
1896      60.46   56.07   58.28
1897      60.62   56.06   58.33
1898      60.61   55.70   58.16
1899      60.73   55.51   58.12
1900      61.87   56.75   59.31
1901      62.43   57.02   59.72
1902      63.79   58.59   61.18
1903      63.95   58.68   61.31
1904      64.17   58.55   61.35
1905      64.32   58.96   61.62
1906      65.09   59.18   62.11
1907      64.81   59.02   61.88
1908      65.40   59.50   62.44
1909      66.87   60.78   63.79
1910      66.91   61.00   63.92
1911      66.97   61.23   64.06
1912      68.12   61.96   64.99
1913      68.09   61.79   64.90
1914      68.06   61.45   64.72
1915      67.84   61.53   64.64
1916      68.18   61.57   64.82
1917      69.35   62.82   66.05
1918      68.97   62.84   65.85
1919      69.39   63.16   66.22
1920      69.83   63.58   66.68
