Scotland, Life expectancy at birth (period, 1x10)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1855-1859      45.01   41.93   43.52
1860-1869      43.42   40.77   42.12
1870-1879      43.95   41.18   42.59
1880-1889      46.78   44.33   45.58
1890-1899      47.38   44.77   46.09
1900-1909      50.19   47.27   48.74
1910-1919      52.71   49.43   51.07
1920-1929      57.57   54.02   55.80
1930-1939      60.84   57.00   58.93
1940-1949      64.66   59.06   61.96
1950-1959      70.36   65.41   67.94
1960-1969      72.62   66.58   69.66
1970-1979      74.11   67.76   70.99
1980-1989      75.91   69.85   72.96
1990-1999      77.61   71.96   74.87
2000-2009      79.43   74.36   76.96
2010-2011      80.75   76.29   78.58
