Denmark, Life expectancy at birth (period, 1x10)     Last modified: 26-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1835-1839      42.36   39.55   40.93
1840-1849      43.14   40.48   41.80
1850-1859      44.55   42.05   43.28
1860-1869      45.58   43.68   44.62
1870-1879      47.36   45.50   46.41
1880-1889      48.85   46.84   47.84
1890-1899      51.07   48.32   49.68
1900-1909      56.44   53.31   54.87
1910-1919      58.94   56.18   57.56
1920-1929      61.92   60.28   61.09
1930-1939      64.59   62.57   63.57
1940-1949      68.63   66.48   67.54
1950-1959      72.98   69.99   71.48
1960-1969      74.83   70.46   72.62
1970-1979      76.79   71.09   73.89
1980-1989      77.56   71.62   74.56
1990-1999      78.20   72.99   75.60
2000-2009      80.10   75.57   77.86
2010-2011      81.58   77.40   79.51
