Belgium, Life expectancy at birth (period, 1x10)     Last modified: 30-Jan-2014, MPv5 (May07)

  Year        Female   Male    Total
1841-1849      38.56   38.42   38.50
1850-1859      40.62   40.25   40.44
1860-1869      41.33   39.96   40.63
1870-1879      43.26   41.04   42.12
1880-1889      46.21   43.12   44.61
1890-1899      47.69   44.21   45.89
1900-1909      51.13   47.80   49.42
1910-1919      52.72   49.22   50.94
1920-1929      57.94   54.31   56.09
1930-1939      61.39   57.21   59.26
1940-1949      63.66   57.62   60.53
1950-1959      71.12   65.92   68.48
1960-1969      73.53   67.44   70.44
1970-1979      75.25   68.73   71.95
1980-1989      77.80   71.10   74.46
1990-1999      80.08   73.49   76.83
2000-2009      81.73   75.93   78.88
2010-2012      82.78   77.59   80.23
