Switzerland, Life expectancy at birth (period, 1x10)     Last modified: 27-Jan-2014, MPv5 (May07)

  Year        Female   Male    Total
1876-1879      42.11   39.06   40.56
1880-1889      45.48   42.95   44.20
1890-1899      48.56   45.68   47.11
1900-1909      51.58   48.72   50.15
1910-1919      55.32   51.87   53.59
1920-1929      60.65   57.50   59.08
1930-1939      64.49   60.58   62.55
1940-1949      67.88   63.66   65.80
1950-1959      72.45   67.55   70.04
1960-1969      74.95   69.18   72.09
1970-1979      77.61   71.20   74.44
1980-1989      79.99   73.25   76.67
1990-1999      81.69   75.30   78.57
2000-2009      83.50   78.46   81.08
2010-2011      84.53   80.16   82.44
