Scotland, Life expectancy at birth (cohort, 1x5)     Last modified: 26-Apr-2013, MPv5 (May07)

  Year        Female   Male    Total
1855-1859      44.72   43.54   43.54
1860-1864      45.03   43.67   43.67
1865-1869      46.42   45.09   45.09
1870-1874      47.75   46.29   46.29
1875-1879      50.11   48.60   48.60
1880-1884      51.76   50.04   50.04
1885-1889      52.85   50.81   50.81
1890-1894      53.92   51.51   51.51
1895-1899      55.27   52.46   52.46
1900-1904      57.74   54.52   54.52
1905-1909      59.51   56.28   56.28
1910-1914      60.39   57.18   57.18
1915-1919      62.10   58.78   58.78
