Norway, Life expectancy at birth (cohort, 1x5)     Last modified: 18-Mar-2011, MPv5 (May07)

  Year        Female   Male    Total
1846-1849      51.80   50.31   50.31
1850-1854      52.80   51.36   51.36
1855-1859      51.73   50.41   50.41
1860-1864      51.42   49.88   49.88
1865-1869      52.87   51.17   51.17
1870-1874      53.12   51.50   51.50
1875-1879      53.77   52.16   52.16
1880-1884      54.56   52.85   52.85
1885-1889      56.01   54.35   54.35
1890-1894      58.69   56.35   56.35
1895-1899      60.86   58.11   58.11
1900-1904      63.89   60.98   60.98
1905-1909      66.88   63.69   63.69
1910-1914      69.19   65.63   65.63
1915-1918      71.05   67.11   67.11
