Finland, Life expectancy at birth (cohort, 1x5)     Last modified: 16-Nov-2010, MPv5 (May07)

  Year        Female   Male    Total
1878-1879      44.81   42.30   42.30
1880-1884      45.24   42.56   42.56
1885-1889      46.94   44.05   44.05
1890-1894      48.95   45.64   45.64
1895-1899      50.00   46.08   46.08
1900-1904      52.60   48.49   48.49
1905-1909      55.84   51.22   51.22
1910-1914      58.23   52.74   52.74
1915-1918      59.54   53.01   53.01
