Netherlands, Life expectancy at birth (cohort, 1x5)     Last modified: 15-Jun-2011, MPv5 (May07)

  Year        Female   Male    Total
1850-1854      41.45   40.41   40.41
1855-1859      40.54   39.51   39.51
1860-1864      43.06   41.91   41.91
1865-1869      44.00   42.76   42.76
1870-1874      45.58   44.34   44.34
1875-1879      47.55   46.16   46.16
1880-1884      49.15   47.68   47.68
1885-1889      51.82   50.23   50.23
1890-1894      54.67   52.57   52.57
1895-1899      57.36   54.76   54.76
1900-1904      59.97   56.95   56.95
1905-1909      63.46   60.03   60.03
1910-1914      65.93   62.25   62.25
1915-1918      67.36   63.37   63.37
