Finland, Life expectancy at birth (period, 1x10)     Last modified: 26-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1878-1879      43.00   40.90   41.96
1880-1889      43.48   40.70   42.08
1890-1899      46.34   43.53   44.93
1900-1909      47.38   44.45   45.90
1910-1919      49.05   42.94   45.87
1920-1929      54.26   49.39   51.80
1930-1939      58.71   53.10   55.88
1940-1949      62.39   48.33   54.90
1950-1959      70.28   63.62   67.05
1960-1969      72.92   65.58   69.32
1970-1979      75.96   67.30   71.68
1980-1989      78.52   70.27   74.50
1990-1999      80.03   72.54   76.37
2000-2009      82.23   75.42   78.88
