Sweden, Life expectancy at birth (period, 1x10)     Last modified: 28-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1751-1759      37.79   34.81   36.32
1760-1769      37.16   34.20   35.69
1770-1779      34.41   32.01   33.21
1780-1789      37.64   34.23   35.93
1790-1799      40.19   37.24   38.71
1800-1809      37.27   34.18   35.71
1810-1819      39.21   35.73   37.47
1820-1829      43.55   39.32   41.42
1830-1839      43.36   39.07   41.20
1840-1849      45.78   41.39   43.57
1850-1859      43.91   39.83   41.85
1860-1869      46.61   42.93   44.77
1870-1879      48.38   44.96   46.67
1880-1889      51.24   48.32   49.79
1890-1899      53.53   50.91   52.23
1900-1909      56.52   54.05   55.30
1910-1919      58.32   55.59   56.96
1920-1929      62.80   60.57   61.69
1930-1939      65.70   63.39   64.54
1940-1949      70.15   67.51   68.82
1950-1959      73.85   70.73   72.28
1960-1969      75.95   71.64   73.75
1970-1979      77.97   72.22   75.01
1980-1989      79.74   73.76   76.70
1990-1999      81.23   75.98   78.62
2000-2009      82.62   78.34   80.52
2010-2011      83.57   79.65   81.64
