The United States of America, Life expectancy at birth (period, 1x10)     Last modified: 24-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1933-1939      63.42   59.34   61.27
1940-1949      68.20   63.11   65.53
1950-1959      72.35   66.19   69.13
1960-1969      73.87   66.76   70.19
1970-1979      76.12   68.45   72.23
1980-1989      78.14   70.98   74.59
1990-1999      79.16   72.80   76.03
2000-2009      80.15   75.03   77.64
