Italy, Life expectancy at birth (period, 1x10)     Last modified: 28-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1872-1879      33.17   32.60   32.87
1880-1889      35.89   35.74   35.80
1890-1899      40.66   40.41   40.52
1900-1909      44.07   43.51   43.77
1910-1919      44.92   38.68   41.73
1920-1929      51.58   50.01   50.78
1930-1939      57.24   54.68   55.97
1940-1949      60.03   53.39   56.65
1950-1959      69.35   65.22   67.31
1960-1969      72.96   67.41   70.20
1970-1979      75.89   69.57   72.73
1980-1989      78.75   72.15   75.48
1990-1999      81.18   74.70   78.00
2000-2009      83.52   77.96   80.84
