"sex","year","age","europe"
"female",1751,0,0.209402771963948
"female",1751,1,0.0491169862035657
"female",1751,2,0.0314830407450664
"female",1751,3,0.0282036667487384
"female",1751,4,0.0258159889323245
"female",1751,5,0.0185278097505468
"female",1751,6,0.0129252888681585
"female",1751,7,0.00873469917170574
"female",1751,8,0.00600846423981467
"female",1751,9,0.00486229781188623
"female",1751,10,0.00526231215983262
"female",1751,11,0.00582550032461117
"female",1751,12,0.00627145799954223
"female",1751,13,0.00652054311516121
"female",1751,14,0.00655019642433679
"female",1751,15,0.00598769511153757
"female",1751,16,0.005608740252602
"female",1751,17,0.00548525203243484
"female",1751,18,0.00547901293287761
"female",1751,19,0.00560962022905471
"female",1751,20,0.00607566627321861
"female",1751,21,0.00653095642971142
"female",1751,22,0.00694715944653944
"female",1751,23,0.00729670968639001
"female",1751,24,0.00771550420127063
"female",1751,25,0.00789356390934454
"female",1751,26,0.00812583491254776
"female",1751,27,0.00847512412081092
"female",1751,28,0.00894307206435698
"female",1751,29,0.00959578021149963
"female",1751,30,0.0108762321250183
"female",1751,31,0.0120450075716612
"female",1751,32,0.013043869017208
"female",1751,33,0.0136796094687905
"female",1751,34,0.0138258951591959
"female",1751,35,0.0124189130814833
"female",1751,36,0.011235170094958
"female",1751,37,0.0105917458743672
"female",1751,38,0.0103901411681298
"female",1751,39,0.010804839472354
"female",1751,40,0.0128345844783246
"female",1751,41,0.0147167241314168
"female",1751,42,0.0162372654848854
"female",1751,43,0.0173767797260471
"female",1751,44,0.0179838211033771
"female",1751,45,0.0155986415834074
"female",1751,46,0.0135722831183109
"female",1751,47,0.0123246184253045
"female",1751,48,0.0116649598235387
"female",1751,49,0.0117311822362903
"female",1751,50,0.0144321472169816
"female",1751,51,0.0174053275672943
"female",1751,52,0.0203642672616102
"female",1751,53,0.0230580678122749
"female",1751,54,0.0254651214059543
"female",1751,55,0.0233781506511359
"female",1751,56,0.0220713429256595
"female",1751,57,0.0217147685889248
"female",1751,58,0.0218557104153283
"female",1751,59,0.0226733151553031
"female",1751,60,0.026919894530002
"female",1751,61,0.0308134673572387
"female",1751,62,0.0352327933918377
"female",1751,63,0.0398446809442969
"female",1751,64,0.0447837401063803
"female",1751,65,0.0454344810711705
"female",1751,66,0.0461764931119866
"female",1751,67,0.0473909261960782
"female",1751,68,0.0496735095210943
"female",1751,69,0.052850015769705
"female",1751,70,0.0636000751769109
"female",1751,71,0.0756289788371438
"female",1751,72,0.0887891370216586
"female",1751,73,0.103330930261958
"female",1751,74,0.118525547320459
"female",1751,75,0.113038172455555
"female",1751,76,0.107508153528097
"female",1751,77,0.102832067752523
"female",1751,78,0.100296209452765
"female",1751,79,0.105992807979563
"female",1751,80,0.124594787641252
"female",1751,81,0.144894223513959
"female",1751,82,0.164894267204498
"female",1751,83,0.18359712789421
"female",1751,84,0.196065097082825
"female",1751,85,0.198750142677777
"female",1751,86,0.199792887983993
"female",1751,87,0.200258453586044
"female",1751,88,0.201306195247338
"female",1751,89,0.20578757818917
"female",1751,90,0.269681807520913
"female",1751,91,0.288303048356668
"female",1751,92,0.308276919146762
"female",1751,93,0.329891756869276
"female",1751,94,0.351715820633702
"female",1751,95,0.374561403508772
"female",1751,96,0.401033386327504
"female",1751,97,0.42998352553542
"female",1751,98,0.454131918119788
"female",1751,99,0.495060373216246
"female",1751,100,0.528018942383583
"female",1751,101,0.568102444703143
"female",1751,102,0.664136622390892
"female",1751,103,0.818481848184819
"female",1751,104,1.02380952380952
"female",1751,105,1.21875
"female",1751,106,1.21875
"female",1751,107,Inf
"female",1751,108,NA
"female",1751,109,NA
"female",1751,110,NA
"female",1752,0,0.247683142100618
"female",1752,1,0.0735123443151027
