New Zealand -- Maori, Life expectancy at birth (period, 1x5)     Last modified: 08-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1948-1949      51.65   52.06   51.84
1950-1954      57.05   54.83   55.87
1955-1959      59.85   58.10   58.96
1960-1964      63.03   60.60   61.76
1965-1969      64.95   61.32   62.97
1970-1974      65.71   61.40   63.42
1975-1979      68.09   63.56   65.69
1980-1984      70.12   65.44   67.65
1985-1989      72.67   67.85   70.18
1990-1994      73.91   68.94   71.37
1995-1999      72.57   67.56   70.05
2000-2004      74.05   69.66   71.88
2005-2008      75.75   71.55   73.69
