Poland, Life expectancy at birth (period, 1x5)     Last modified: 08-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1958-1959      68.48   62.82   65.75
1960-1964      71.01   65.06   68.13
1965-1969      72.85   66.51   69.77
1970-1974      73.92   66.95   70.50
1975-1979      74.64   66.74   70.70
1980-1984      75.02   66.87   70.94
1985-1989      75.19   66.77   70.94
1990-1994      75.55   66.63   71.01
1995-1999      76.95   68.27   72.57
2000-2004      78.61   70.19   74.41
2005-2009      79.64   71.05   75.35
