France, Total Population, Life expectancy at birth (period, 1x5)     Last modified: 08-Jan-2014, MPv5 (May07)

  Year        Female   Male    Total
1816-1819      39.54   38.00   38.75
1820-1824      40.01   38.65   39.31
1825-1829      39.17   37.89   38.51
1830-1834      38.46   37.05   37.73
1835-1839      40.90   39.50   40.19
1840-1844      41.61   40.05   40.82
1845-1849      40.79   39.37   40.07
1850-1854      41.58   40.21   40.88
1855-1859      39.30   37.51   38.38
1860-1864      42.60   41.44   42.00
1865-1869      41.95   40.32   41.12
1870-1874      40.08   36.71   38.32
1875-1879      44.69   42.65   43.64
1880-1884      44.20   41.84   42.98
1885-1889      45.43   42.74   44.05
1890-1894      45.49   42.54   43.97
1895-1899      48.00   44.72   46.31
1900-1904      49.04   45.54   47.25
1905-1909      50.65   46.81   48.67
1910-1914      52.70   43.76   47.94
1915-1919      50.10   32.12   39.98
1920-1924      55.86   51.77   53.80
1925-1929      56.94   52.51   54.72
1930-1934      59.93   54.81   57.36
1935-1939      61.94   55.96   58.93
1940-1944      58.60   47.64   52.79
1945-1949      65.41   59.53   62.51
1950-1954      69.93   64.05   67.06
1955-1959      72.40   65.91   69.21
1960-1964      74.09   67.18   70.67
1965-1969      75.07   67.64   71.35
1970-1974      76.19   68.55   72.35
1975-1979      77.62   69.54   73.54
1980-1984      78.79   70.62   74.67
1985-1989      80.11   71.90   75.99
1990-1994      81.38   73.13   77.25
1995-1999      82.24   74.42   78.34
2000-2004      83.11   75.78   79.49
2005-2009      84.25   77.36   80.88
2010-2012      84.86   78.35   81.68
