Belarus, Life expectancy at birth (period, 1x5)     Last modified: 04-Nov-2013, MPv5 (May07)

  Year        Female   Male    Total
1960-1964      75.25   68.34   72.28
1965-1969      76.44   68.91   73.17
1970-1974      76.52   68.17   72.80
1975-1979      76.20   66.65   71.81
1980-1984      75.87   65.91   71.19
1985-1989      76.02   67.06   71.83
1990-1994      75.08   64.72   69.98
1995-1999      74.17   62.67   68.32
2000-2004      74.59   62.79   68.53
2005-2009      75.87   63.98   69.82
2010-2012      76.97   65.29   71.09
