Lithuania, Life expectancy at birth (period, 1x5)     Last modified: 08-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1960-1964      73.56   66.97   70.51
1965-1969      75.10   67.81   71.67
1970-1974      75.61   67.10   71.53
1975-1979      75.64   66.08   70.99
1980-1984      75.75   65.64   70.80
1985-1989      76.14   67.12   71.80
1990-1994      75.50   64.35   69.91
1995-1999      76.16   65.09   70.64
2000-2004      77.56   66.30   71.96
2005-2009      77.56   65.54   71.48
2010-2011      78.92   67.78   73.40
