Bulgaria, Life expectancy at birth (period, 1x5)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1947-1949      57.55   54.41   55.96
1950-1954      63.66   60.31   61.97
1955-1959      68.02   64.63   66.31
1960-1964      71.84   68.31   70.06
1965-1969      72.99   68.90   70.90
1970-1974      73.44   68.85   71.08
1975-1979      73.69   68.62   71.08
1980-1984      74.18   68.48   71.23
1985-1989      74.65   68.28   71.35
1990-1994      74.79   67.75   71.13
1995-1999      74.61   67.42   70.89
2000-2004      75.62   68.72   72.08
2005-2009      76.64   69.54   73.01
