Czech Republic, Life expectancy at birth (period, 1x5)     Last modified: 10-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1950-1954      68.82   63.90   66.38
1955-1959      72.09   66.69   69.43
1960-1964      73.36   67.32   70.38
1965-1969      73.43   66.69   70.06
1970-1974      73.46   66.46   69.94
1975-1979      74.19   67.12   70.64
1980-1984      74.31   67.13   70.69
1985-1989      75.07   67.79   71.41
1990-1994      76.06   68.57   72.30
1995-1999      77.48   70.54   74.04
2000-2004      78.67   72.07   75.41
2005-2009      79.95   73.65   76.83
2010-2011      80.75   74.57   77.69
