Australia, Life expectancy at birth (period, 1x5)     Last modified: 24-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1921-1924      64.14   60.18   62.00
1925-1929      65.07   61.15   62.96
1930-1934      67.17   63.44   65.19
1935-1939      67.70   63.60   65.54
1940-1944      68.63   64.61   66.53
1945-1949      70.91   66.35   68.54
1950-1954      72.17   66.67   69.29
1955-1959      73.51   67.50   70.37
1960-1964      74.22   67.83   70.88
1965-1969      74.39   67.70   70.89
1970-1974      75.13   68.28   71.57
1975-1979      77.04   70.00   73.42
1980-1984      78.59   71.68   75.07
1985-1989      79.26   72.87   76.02
1990-1994      80.55   74.52   77.52
1995-1999      81.60   75.94   78.78
2000-2004      82.80   77.76   80.30
2005-2009      83.83   79.26   81.56
