Portugal, Life expectancy at birth (period, 1x5)     Last modified: 13-Jan-2014, MPv5 (May07)

  Year        Female   Male    Total
1940-1944      52.79   48.22   50.55
1945-1949      57.65   52.45   55.11
1950-1954      62.59   57.33   60.04
1955-1959      64.75   59.32   62.11
1960-1964      67.12   61.32   64.28
1965-1969      69.40   63.04   66.27
1970-1974      71.33   64.93   68.18
1975-1979      73.65   66.55   70.12
1980-1984      75.85   68.81   72.36
1985-1989      77.42   70.38   73.92
1990-1994      78.38   71.14   74.77
1995-1999      79.52   72.21   75.87
2000-2004      80.88   73.96   77.45
2005-2009      82.38   75.78   79.14
2010-2012      83.31   77.05   80.26
