Hungary, Life expectancy at birth (period, 1x5)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1950-1954      65.67   61.40   63.56
1955-1959      68.93   64.55   66.77
1960-1964      70.90   66.37   68.67
1965-1969      71.96   66.86   69.44
1970-1974      72.32   66.44   69.39
1975-1979      72.82   66.39   69.60
1980-1984      72.98   65.32   69.08
1985-1989      73.50   65.37   69.36
1990-1994      74.01   64.89   69.34
1995-1999      75.24   66.29   70.70
2000-2004      76.65   68.23   72.46
2005-2009      77.74   69.45   73.64
