Luxembourg, Life expectancy at birth (period, 1x5)     Last modified: 28-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1960-1964      72.27   65.94   69.00
1965-1969      73.00   66.53   69.68
1970-1974      73.68   66.77   70.14
1975-1979      75.03   67.79   71.35
1980-1984      76.11   69.37   72.76
1985-1989      77.85   70.72   74.33
1990-1994      78.80   72.28   75.62
1995-1999      79.91   73.57   76.81
2000-2004      81.05   74.93   78.05
2005-2009      82.22   77.20   79.79
