Slovakia, Life expectancy at birth (period, 1x5)     Last modified: 08-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1950-1954      65.62   61.89   63.78
1955-1959      70.49   66.25   68.39
1960-1964      72.97   68.28   70.63
1965-1969      73.23   67.57   70.37
1970-1974      73.43   66.76   70.02
1975-1979      74.19   66.91   70.46
1980-1984      74.63   66.75   70.58
1985-1989      75.09   66.97   70.93
1990-1994      75.81   67.25   71.45
1995-1999      76.71   68.60   72.64
2000-2004      77.72   69.69   73.73
2005-2009      78.53   70.67   74.63
