Spain, Life expectancy at birth (period, 1x5)     Last modified: 11-Feb-2014, MPv5 (May07)

  Year        Female   Male    Total
1908-1909      42.21   40.19   41.19
1910-1914      43.07   41.05   42.04
1915-1919      40.66   38.89   39.75
1920-1924      44.69   42.17   43.41
1925-1929      49.89   46.77   48.31
1930-1934      52.56   48.98   50.75
1935-1939      53.31   45.26   49.11
1940-1944      55.28   48.46   51.80
1945-1949      62.09   56.59   59.36
1950-1954      66.40   61.80   64.16
1955-1959      69.81   65.11   67.52
1960-1964      72.24   67.15   69.75
1965-1969      73.92   68.47   71.25
1970-1974      75.30   69.65   72.53
1975-1979      77.15   71.16   74.21
1980-1984      79.09   72.84   76.01
1985-1989      80.11   73.42   76.79
1990-1994      81.12   73.88   77.50
1995-1999      82.21   75.10   78.66
2000-2004      83.20   76.43   79.83
2005-2009      84.21   77.87   81.06
2010-2012      85.06   79.20   82.16
