East Germany, Life expectancy at birth (period, 1x5)     Last modified: 10-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1956-1959      70.80   66.24   68.68
1960-1964      72.17   67.32   69.93
1965-1969      73.19   68.11   70.86
1970-1974      73.92   68.61   71.50
1975-1979      74.58   68.80   71.95
1980-1984      75.10   69.19   72.40
1985-1989      75.85   69.79   73.05
1990-1994      77.22   69.92   73.72
1995-1999      79.47   72.38   76.07
2000-2004      81.17   74.54   77.97
2005-2009      82.26   76.11   79.25
2010-2011      82.73   76.86   79.82
