country,year,age,sex,death_count,population_count,death_rate,cohort_size,cumulative_deaths
rwe,1950,0,female,38802.68,1063821.37,0.0364748077959742,50000,0
rwe,1950,1,female,3791.4,1081209.87,0.00350662725637161,48176.2596102013,1823.74038979871
rwe,1950,2,female,1717.64,1105385.38,0.00155388340670835,48007.3234251421,1992.67657485788
rwe,1950,3,female,1262.1,1075561.53,0.00117343356451211,47932.7256418713,2067.27435812868
rwe,1950,4,female,868.06,895752.41,0.000969084749657553,47876.4797727646,2123.52022723541
rwe,1950,5,female,652.04,887032.67,0.000735080028112155,47830.0834063495,2169.91659365048
rwe,1950,6,female,541.54,869856.67,0.000622562335470739,47794.9244672946,2205.07553270543
rwe,1950,7,female,431.52,808294.17,0.000533865040743768,47765.1691474946,2234.83085250544
rwe,1950,8,female,380.02,760209.14,0.000499888754297271,47739.6689935215,2260.3310064785
rwe,1950,9,female,327.52,780588.28,0.000419580985766274,47715.8044698578,2284.19553014224
rwe,1950,10,female,389.54,813331.33,0.000478943802644366,47695.7838255817,2304.21617441833
rwe,1950,11,female,327.02,806671.15,0.000405394441092879,47672.9402255061,2327.05977449386
rwe,1950,12,female,365.02,793092,0.000460249252293555,47653.6138805482,2346.38611945183
rwe,1950,13,female,428.04,796478.03,0.000537415953582549,47631.6813403906,2368.31865960945
rwe,1950,14,female,397.53,796347.26,0.000499191772192448,47606.0833149423,2393.91668505773
rwe,1950,15,female,537.54,807729.02,0.000665495465298498,47582.3187498451,2417.68125015486
rwe,1950,16,female,565.55,808486.12,0.000699517265676744,47550.6529324887,2449.34706751127
rwe,1950,17,female,670.56,841088.18,0.000797252911103804,47517.3904297683,2482.60957023175
rwe,1950,18,female,741.06,850840.05,0.000870974515127726,47479.5070519201,2520.49294807993
rwe,1950,19,female,919.58,863976.53,0.00106435761628849,47438.153611287,2561.84638871298
rwe,1950,20,female,930.08,845516.46,0.00110001406714187,47387.6624511882,2612.33754881183
rwe,1950,21,female,984.08,855945.07,0.00114969994511447,47335.5353558829,2664.46464411711
rwe,1950,22,female,1022.59,858231.75,0.00119150800468521,47281.1136934823,2718.88630651773
rwe,1950,23,female,1089.1,880256.71,0.00123725271006454,47224.7778680461,2775.22213195395
rwe,1950,24,female,1158.09,894378.25,0.00129485483351144,47166.3488836466,2833.65111635339
rwe,1950,25,female,1243.1,901508.85,0.00137891047880451,47105.2753088155,2894.72469118446
rwe,1950,26,female,1275.61,918943.75,0.00138812631349851,47040.3213510852,2959.67864891476
rwe,1950,27,female,1311.11,932218,0.00140644141177278,46975.0234432224,3024.97655677762
rwe,1950,28,female,1481.63,968207.93,0.00153028079412653,46908.9558249328,3091.04417506717
rwe,1950,29,female,1508.13,972946.21,0.00155006513669445,46837.1719507614,3162.82804923859
rwe,1950,30,female,1486.62,755186.87,0.0019685458779229,46764.5712834192,3235.42871658083
rwe,1950,31,female,1099.08,661523.23,0.00166143825364984,46672.5130793864,3327.48692061364
rwe,1950,32,female,1096.57,630340.23,0.00173964780893011,46594.9695807623,3405.0304192377
rwe,1950,33,female,1141.08,654946.85,0.00174224824502935,46513.910744024,3486.08925597604
rwe,1950,34,female,1229.08,734553.64,0.00167323382945866,46432.8719646607,3567.12803533926
rwe,1950,35,female,1696.63,884483.68,0.00191821515576183,46355.1789124905,3644.82108750945
rwe,1950,36,female,1896.15,897074.93,0.00211370303258837,46266.2597057526,3733.74029424744
rwe,1950,37,female,1958.66,903711.11,0.00216735190961634,46168.466572306,3831.53342769401
rwe,1950,38,female,2151.18,878560.44,0.00244852818549399,46068.4032581164,3931.59674188356
rwe,1950,39,female,2095.66,901157.13,0.00232552118851903,45955.6034742782,4044.39652572176
rwe,1950,40,female,2313.69,902891.6,0.00256253353115701,45848.7327446676,4151.26725533237
rwe,1950,41,female,2515.21,906755.81,0.00277385595136137,45731.2438296484,4268.75617035164
rwe,1950,42,female,2705.22,892680.5,0.00303044594342545,45604.3919467883,4395.60805321167
rwe,1950,43,female,2803.23,888903.01,0.00315358365138172,45466.1903022108,4533.8096977892
rwe,1950,44,female,2988.24,879678.98,0.00339696647065501,45322.8088677831,4677.19113221686
rwe,1950,45,female,3315.8,874576.2,0.00379132201402233,45168.8488057034,4831.15119429662
rwe,1950,46,female,3568.82,863781.81,0.00413162208173844,44997.5991548783,5002.40084512173
rwe,1950,47,female,3855.33,863501.08,0.00446476569548703,44811.6860805848,5188.31391941524
rwe,1950,48,female,4238.87,856068.78,0.00495155307497605,44611.6124018152,5388.38759818477
rwe,1950,49,female,4438.36,837194.77,0.00530146646759391,44390.7156352474,5609.28436475262
rwe,1950,50,female,4823.4,819327.36,0.00588702420483066,44155.3797448346,5844.62025516538
rwe,1950,51,female,4764.42,798109.23,0.00596963400611217,43895.4359555033,6104.56404449671
rwe,1950,52,female,5284.44,789628.48,0.00669231180719318,43633.3962683102,6366.6037316898
rwe,1950,53,female,5655.97,783757.33,0.00721648115239956,43341.3879752759,6658.61202472415
rwe,1950,54,female,6154.5,748836.37,0.00821875144766272,43028.6156658334,6971.38433416656
rwe,1950,55,female,6176.02,736700.28,0.0083833550327957,42674.9741685389,7325.02583146105
rwe,1950,56,female,6814.56,726936.42,0.00937435491263459,42317.2147090687,7682.7852909313
rwe,1950,57,female,6857.56,699621.03,0.00980182085149727,41920.5181194717,8079.48188052827
rwe,1950,58,female,7425.6,687306.57,0.0108039124375022,41509.6207108627,8490.37928913728
rwe,1950,59,female,8014.15,658793.2,0.0121648948410518,41061.1544033886,8938.84559661137
rwe,1950,60,female,8625.71,658002.58,0.0131089303631606,40561.6497780192,9438.35022198078
rwe,1950,61,female,8936.7,648077.82,0.013789547681172,40029.9299356643,9970.07006433574
rwe,1950,62,female,9968.3,636358.96,0.0156645865409045,39477.9353081424,10522.0646918576
rwe,1950,63,female,10885.4,614574.06,0.0177121045427788,38859.5297740518,11140.4702259482
rwe,1950,64,female,11563.95,600540.64,0.0192558991511382,38171.2457202106,11828.7542797894
rwe,1950,65,female,12543.5,581384.84,0.0215752099762354,37436.2240621489,12563.7759378511
rwe,1950,66,female,13051.57,559276.22,0.0233365366401597,36628.5296672906,13371.4703327094
rwe,1950,67,female,14343.66,551314.12,0.0260172186411623,35773.7466426347,14226.2533573653
rwe,1950,68,female,15677.78,530726.32,0.029540234597749,34843.0132546198,15156.9867453802
rwe,1950,69,female,16442.32,499461.19,0.0329201153747301,33813.7424689858,16186.2575310142
rwe,1950,70,female,17484.4,477083.52,0.0366485096781377,32700.5901656554,17299.4098343446
rwe,1950,71,female,18228.52,455158.52,0.0400487285177041,31502.1622704885,18497.8377295115
rwe,1950,72,female,19759.12,436601.94,0.0452566014708959,30240.5407259971,19759.4592740029
rwe,1950,73,female,20911.71,414124.51,0.0504961901433943,28871.9566260962,21128.0433739038
rwe,1950,74,female,22043.85,381205.79,0.0578266400413278,27414.032814493,22585.967185507
rwe,1950,75,female,22718.37,345780.35,0.0657017381120703,25828.7714068482,24171.2285931518
rwe,1950,76,female,23000.92,314180.4,0.0732092772178023,24131.7762321189,25868.2237678811
rwe,1950,77,female,22627.96,291938.7,0.0775092853396963,22365.1063361838,27634.8936638162
rwe,1950,78,female,21905.27,238327.4,0.0919125119478499,20631.6029275199,29368.3970724801
rwe,1950,79,female,21023.23,219583.32,0.0957414707091595,18735.3004769409,31264.6995230591
rwe,1950,80,female,21134.29,194734.93,0.108528500767685,16941.5552551006,33058.4447448994
rwe,1950,81,female,19566.71,166325.38,0.117641156148268,15102.9136625916,34897.0863374084
rwe,1950,82,female,19117.62,146175.43,0.130785454162851,13326.1894381169,36673.8105618831
rwe,1950,83,female,18264.57,124548.82,0.146645869467089,11583.3177001926,38416.6822998074
rwe,1950,84,female,16568.94,102006.06,0.162430937926629,9884.6720047343,40115.3279952657
rwe,1950,85,female,14748.28,83827.44,0.175936185096431,8279.09545990821,41720.9045400918
rwe,1950,86,female,13432.65,67874.19,0.197905124171648,6822.50298864277,43177.4970113572
rwe,1950,87,female,11266.51,52618.87,0.214115392443813,5472.29468751399,44527.705312486
rwe,1950,88,female,9176.31,40476.14,0.226709118013724,4300.59216292874,45699.4078370713
rwe,1950,89,female,7805.19,31045.11,0.251414473970297,3325.60870673443,46674.3912932656
rwe,1950,90,female,6281.55,22951.06,0.273693241183632,2489.50254309975,47510.4974569002
rwe,1950,91,female,4594.91,15609.82,0.294360216837862,1808.14252314389,48191.8574768561
rwe,1950,92,female,3513.8,10861.3,0.323515601263201,1275.89729795749,48724.1027020425
rwe,1950,93,female,2545.2,7550.4,0.33709472345836,863.124616458683,49136.8753835413
rwe,1950,94,female,1907.66,5035.15,0.378868554064924,572.16986256344,49427.8301374366
rwe,1950,95,female,1196.09,3230.9,0.370203348912068,355.392694054504,49644.6073059455
rwe,1950,96,female,854.07,2071.05,0.412385022090244,223.825128536644,49776.1748714634
rwe,1950,97,female,577.54,1316.71,0.438623538972135,131.522997960709,49868.4770020393
rwe,1950,98,female,359.53,749.86,0.479462833062172,73.8339151389577,49926.166084861
rwe,1950,99,female,217.52,435.2,0.499816176470588,38.4332970103611,49961.5667029896
rwe,1950,100,female,152.45,226.59,0.672801094487842,19.2237134494839,49980.7762865505
rwe,1950,101,female,69.18,116.78,0.592395958212023,6.2899780005505,49993.7100219994
rwe,1950,102,female,37.61,52.11,0.721742467856457,2.56382045578184,49997.4361795442
rwe,1950,103,female,16.77,28.95,0.579274611398964,0.713402352884988,49999.2865976471
rwe,1950,104,female,6,8.71,0.68886337543054,0.30014648214643,49999.6998535178
rwe,1950,105,female,3,6.94,0.432276657060519,0.0933865633314381,49999.9066134367
rwe,1950,106,female,1,5,0.2,0.0530177319201536,49999.9469822681
rwe,1950,107,female,3,1.93,1.55440414507772,0.0424141855361229,49999.9575858145
rwe,1950,108,female,0,0.47,0,-0.023514600271322,50000.0235146003
rwe,1950,109,female,0,0,NaN,-0.023514600271322,50000.0235146003
rwe,1950,110,female,0,0,NaN,NaN,NaN
rwe,1950,0,male,53136.42,1114799.88,0.0476645368853107,50000,0
rwe,1950,1,male,4406.73,1134060.97,0.00388579636948444,47616.7731557345,2383.22684426553
rwe,1950,2,male,2138.29,1157961.37,0.00184659873411839,47431.7440714794,2568.25592852064
rwe,1950,3,male,1519.7,1123269.5,0.00135292554458213,47344.1566729199,2655.84332708007
rwe,1950,4,male,1082.12,932066.37,0.00116099028441505,47280.1035539704,2719.89644602956
rwe,1950,5,male,865.09,920985.5,0.000939309033638423,47225.2118130981,2774.78818690186
rwe,1950,6,male,746.57,906269.13,0.000823783990082504,47180.8527450266,2819.14725497339
rwe,1950,7,male,653.07,842783.6,0.000774896426555998,47141.9859138968,2858.01408610318
rwe,1950,8,male,590.56,786982.17,0.000750410901939494,47105.4557574714,2894.54424252862
rwe,1950,9,male,464.06,806784.49,0.000575196977324143,47070.1073099302,2929.89269006985
rwe,1950,10,male,497.06,839028.8,0.00059242304912537,47043.0327264832,2956.96727351684
rwe,1950,11,male,512.56,834066.96,0.00061453099640825,47015.1633495952,2984.83665040477
rwe,1950,12,male,477.06,819732.83,0.000581970103600706,46986.2710744157,3013.72892558429
rwe,1950,13,male,531.06,815215.37,0.000651435215211902,46958.9264693707,3041.07353062928
rwe,1950,14,male,620.08,806013.84,0.00076931681470879,46928.335771,3071.66422899998
rwe,1950,15,male,741.61,809634.65,0.00091598105392352,46892.2330132051,3107.76698679492
rwe,1950,16,male,856.61,799241.2,0.00107177908245971,46849.2806161888,3150.71938381118
rwe,1950,17,male,965.63,828118.29,0.00116605322169614,46799.0685371961,3200.93146280389
rwe,1950,18,male,1068.65,835144.73,0.00127959856730462,46744.4983325559,3255.50166744407
rwe,1950,19,male,1229.68,850773.6,0.0014453668990199,46684.6841394602,3315.31586053978
rwe,1950,20,male,1308.19,834301.11,0.00156800702326765,46617.2076423138,3382.79235768616
rwe,1950,21,male,1385.7,852645.17,0.00162517779816896,46544.1115333256,3455.88846667443
rwe,1950,22,male,1515.24,858577.62,0.00176482587561507,46468.4690766261,3531.5309233739
rwe,1950,23,male,1530.22,874029.72,0.00175076426462935,46386.4603199995,3613.53968000055
rwe,1950,24,male,1610.24,884983.69,0.0018195137584965,46305.2485629085,3694.75143709145
rwe,1950,25,male,1614.75,885254.48,0.00182405176870723,46220.9955260577,3779.00447394227
rwe,1950,26,male,1767.25,898054.4,0.0019678651983666,46136.686037417,3863.31396258298
rwe,1950,27,male,1801.76,910536.02,0.0019787904711337,46045.895258596,3954.10474140398
rwe,1950,28,male,1807.77,944657.02,0.00191367868096719,45954.7800798235,4045.21992017651
rwe,1950,29,male,1939.79,952692.44,0.00203611356462533,45866.8373968962,4133.1626031038
rwe,1950,30,male,1913.26,737728.05,0.00259344890030954,45773.4473071059,4226.55269289409
rwe,1950,31,male,1260.17,644333.83,0.00195577190165539,45654.7362105239,4345.26378947608
rwe,1950,32,male,1317.18,611593,0.00215368717431364,45565.4459602659,4434.55403973411
rwe,1950,33,male,1321.15,638412.37,0.00206943045292183,45467.3122437094,4532.68775629062
rwe,1950,34,male,1510.68,713697.49,0.0021166951280717,45373.2208031397,4626.77919686025
rwe,1950,35,male,2062.29,852460.98,0.00241921923511385,45277.1795277208,4722.82047227918
rwe,1950,36,male,2214.32,870714.85,0.0025431058170192,45167.6441040957,4832.35589590434
rwe,1950,37,male,2528.88,880816.55,0.00287106321969087,45052.7780056335,4947.22199436653
rwe,1950,38,male,2646.88,856061.99,0.00309192562094715,44923.4286317566,5076.5713682434
rwe,1950,39,male,2887.94,881688.6,0.0032754648296462,44784.5287317893,5215.47126821072
rwe,1950,40,male,3168.48,883003.16,0.00358829972930108,44637.838583016,5362.16141698398
rwe,1950,41,male,3400.52,883684.53,0.00384811534496366,44477.664638912,5522.335361088
rwe,1950,42,male,3811.58,872365.23,0.00436924795822044,44306.5094551069,5693.49054489315
rwe,1950,43,male,4032.13,867286.65,0.00464913186430346,44112.9233291343,5887.07667086575
rwe,1950,44,male,4514.18,857952.07,0.0052615759759167,43907.8365316572,6092.1634683428
rwe,1950,45,male,4961.75,847094.88,0.00585737219896784,43676.8121138078,6323.18788619225
rwe,1950,46,male,5332.32,833744.48,0.00639562855036833,43420.9807687928,6579.0192312072
rwe,1950,47,male,5951.38,832379.68,0.00714983816039334,43143.2763045029,6856.72369549709
rwe,1950,48,male,6345.43,819083.99,0.00774698330997777,42834.8088612166,7165.19113878342
rwe,1950,49,male,6978.01,791674.4,0.00881424231982239,42502.9683118826,7497.03168811736
rwe,1950,50,male,7566.6,760692.14,0.00994699379962044,42128.33684987,7871.66315013002
rwe,1950,51,male,7471.1,716332.28,0.0104296570301146,41709.286544436,8290.713455564
rwe,1950,52,male,7957.14,689940.06,0.0115330888309341,41274.2729908068,8725.72700919324
rwe,1950,53,male,8409.15,666825.56,0.0126107193611475,40798.2531339716,9201.74686602844
rwe,1950,54,male,8441.61,610311.75,0.0138316360450213,40283.757813274,9716.24218672601
rwe,1950,55,male,8481.59,592585.63,0.0143128512920571,39726.567536675,10273.432463325
rwe,1950,56,male,9163.16,580148.87,0.0157944977122855,39157.9670831787,10842.0329168213
rwe,1950,57,male,9661.7,555532,0.0173917974122103,38539.4866616657,11460.5133383343
rwe,1950,58,male,10228.72,552477.59,0.0185142713209417,37869.2157172754,12130.7842827246
rwe,1950,59,male,11039.84,525254.32,0.0210180851058969,37168.0947827745,12831.9052172255
rwe,1950,60,male,11502.41,523982.38,0.0219519022757979,36386.8926034061,13613.1073965939
rwe,1950,61,male,12073.01,512780.02,0.0235442285758326,35588.1310928562,14411.8689071438
rwe,1950,62,male,13295.6,500629.19,0.0265577802205261,34750.2359998193,15249.7640001807
rwe,1950,63,male,14135.69,479028.06,0.0295091064185259,33827.3468695247,16172.6531304753
rwe,1950,64,male,15045.79,466484.19,0.0322535904164298,32829.1320908955,17170.8679091045
rwe,1950,65,male,15852.9,445732.35,0.0355659623987355,31770.2747107089,18229.7252892911
rwe,1950,66,male,15672.45,426006.05,0.0367892662557257,30640.3343149503,19359.6656850497
rwe,1950,67,male,16648.53,417243.1,0.0399012709856676,29513.0988976731,20486.9011023269
rwe,1950,68,male,17784.68,402087.64,0.0442308547459952,28335.4887409303,21664.5112590697
rwe,1950,69,male,18202.64,375262.69,0.0485063942807637,27082.1858542734,22917.8141457266
rwe,1950,70,male,18799.81,360544.33,0.0521428530022924,25768.5266692411,24231.4733307589
rwe,1950,71,male,19438.51,340851.47,0.0570292684963336,24424.8821710412,25575.1178289588
rwe,1950,72,male,20985.15,327077.55,0.0641595548211732,23031.9490077176,26968.0509922824
rwe,1950,73,male,21559.72,307471.25,0.0701194664541807,21554.2294127185,28445.7705872815
rwe,1950,74,male,21938.32,280036.15,0.0783410284707885,20042.8583464676,29957.1416535324
rwe,1950,75,male,21801.79,251747.18,0.086601923405855,18472.680210111,31527.319789889
rwe,1950,76,male,21136.23,225129.5,0.0938847641024388,16872.9105734542,33127.0894265458
rwe,1950,77,male,20880.75,204613.78,0.102049578479025,15288.8013445439,34711.1986554561
rwe,1950,78,male,19081.85,165670.13,0.115179785275716,13728.5856118836,36271.4143881164
rwe,1950,79,male,18229.76,145678.86,0.125136618998803,12147.3300689676,37852.6699310324
rwe,1950,80,male,17602.79,126194.81,0.139489017020589,10627.2542542745,39372.7457457255
rwe,1950,81,male,15485.53,104562.92,0.148097719535759,9144.86900471785,40855.1309952822
rwe,1950,82,male,14657.87,88693.98,0.165263414721044,7790.53475966589,42209.4652403341
rwe,1950,83,male,13357.24,73481.65,0.181776538768522,6503.04438278051,43496.9556172195
rwe,1950,84,male,11810.49,57334.13,0.205994056245381,5320.94348342059,44679.0565165794
rwe,1950,85,male,9748.25,45307.04,0.215159719107671,4224.86075221835,45775.1392477816
rwe,1950,86,male,8475.59,35469.24,0.238956064465999,3315.84089950203,46684.159100498
rwe,1950,87,male,6901.4,26189.11,0.263521746252545,2523.50060776163,47476.4993922384
rwe,1950,88,male,5378.71,19078.68,0.28192254390765,1858.50332093492,48141.4966790651
rwe,1950,89,male,4255.54,14007.3,0.303808728305955,1334.54933683613,48665.4506631639
rwe,1950,90,male,3251.92,9857.7,0.32988628178987,929.101599950393,49070.8984000496
rwe,1950,91,male,2218.29,6259.31,0.354398488012257,622.603727737739,49377.3962722623
rwe,1950,92,male,1611.71,4092.82,0.393789612052326,401.953907996689,49598.0460920033
