country,birth_cohort,age,sex,death_count,population_count,death_rate,cohort_size,cumulative_deaths
ruk,1930,0,female,17081,312055.3,0.0547370930729265,50000,0
ruk,1930,1,female,4461,305823.63,0.0145868388260253,47263.1453463537,2736.85465364633
ruk,1930,2,female,1824,303363.31,0.00601259262367621,46573.7254627754,3426.27453722459
ruk,1930,3,female,1233,302407.1,0.00407728522246998,46293.6966246008,3706.3033753992
ruk,1930,4,female,1065,298541.26,0.00356734610150704,46104.9440194598,3895.05598054019
ruk,1930,5,female,797.58,298094.93,0.00267559062477178,45940.4717271518,4059.52827284821
ruk,1930,6,female,671.13,300488.58,0.00223346258283759,45817.553831701,4182.44616829897
ruk,1930,7,female,492.96,300176.67,0.00164223288905164,45715.2220395808,4284.77796041923
ruk,1930,8,female,464.9,298626.1,0.00155679627467258,45640.1469984171,4359.85300158292
ruk,1930,9,female,296.25,296430.12,0.000999392369439381,45569.0945875944,4430.90541240557
ruk,1930,10,female,371.2,297081.09,0.00124949050106151,45523.5531821813,4476.44681781867
ruk,1930,11,female,373.6,299416.57,0.00124775993526344,45466.6719349056,4533.32806509438
ruk,1930,12,female,282.77,299739.62,0.000943385462355627,45409.9404432755,4590.05955672452
ruk,1930,13,female,303.9,298656.01,0.00101755862873813,45367.1013656149,4632.89863438514
ruk,1930,14,female,302.4,295008.67,0.00102505461958118,45320.9376801594,4679.06231984055
ruk,1930,15,female,322.8,290214.93,0.00111227909604788,45274.4812436267,4725.51875637335
ruk,1930,16,female,327.66,295086.72,0.00111038544872504,45224.123384555,4775.87661544504
ruk,1930,17,female,370.17,298575.65,0.00123978629871525,45173.9071760174,4826.0928239826
ruk,1930,18,female,398.16,294631.65,0.00135138231075989,45117.9011848411,4882.09881515885
ruk,1930,19,female,377.39,294764.97,0.00128030817230419,45056.9296512813,4943.07034871866
ruk,1930,20,female,309.81,299667,0.00103384757080359,44999.2428960299,5000.75710397013
ruk,1930,21,female,292.1,304595.15,0.00095897784321254,44952.7205380738,5047.27946192619
ruk,1930,22,female,245.92,307693.79,0.000799236149679849,44909.6118750857,5090.38812491433
ruk,1930,23,female,238.18,307152.63,0.00077544509386099,44873.718489807,5126.28151019299
ruk,1930,24,female,227.77,306626.2,0.000742826281641947,44838.9213849608,5161.07861503921
ruk,1930,25,female,236.56,306101.89,0.000772814568377869,44805.6138557156,5194.38614428444
ruk,1930,26,female,197.11,305591.56,0.000645011269290291,44770.9874245828,5229.01257541725
ruk,1930,27,female,201.61,305093.86,0.000660813036355435,44742.1096331566,5257.89036684336
ruk,1930,28,female,216.07,304592.87,0.000709373137985797,44712.543463837,5287.45653616299
ruk,1930,29,female,234.91,304079.27,0.000772528821185344,44680.8255865727,5319.17441342726
ruk,1930,30,female,224.26,303553.42,0.000738782649854513,44646.3083610528,5353.69163894725
ruk,1930,31,female,248.6,303038.13,0.000820358810952272,44613.3244430556,5386.67555694444
ruk,1930,32,female,271.18,303851.48,0.000892475494935881,44576.7255092628,5423.27449073718
ruk,1930,33,female,291.73,305269.7,0.000955646760880625,44536.9418741013,5463.05812589868
ruk,1930,34,female,281.25,304762.72,0.000922849093878674,44494.3802898598,5505.61971014019
ruk,1930,35,female,323.36,305055.26,0.00106000466931795,44453.3186913266,5546.68130867338
ruk,1930,36,female,323.97,304545.87,0.00106378063836492,44406.1979659471,5593.80203405287
ruk,1930,37,female,347.45,303189.29,0.00114598375160284,44358.9595123276,5641.04048767244
ruk,1930,38,female,415,302888.36,0.00137014179085654,44308.1248654884,5691.87513451157
ruk,1930,39,female,465,302830.81,0.00153551086826337,44247.4164519357,5752.58354806427
ruk,1930,40,female,517,303022.36,0.00170614472146544,44179.4740630812,5820.5259369188
ruk,1930,41,female,534,302464.37,0.00176549720550556,44104.0974866114,5895.90251338865
ruk,1930,42,female,608,301466.22,0.00201680971088568,44026.2318257474,5973.7681742526
ruk,1930,43,female,651,300802.77,0.00216420879368897,43937.4392938675,6062.56070613248
ruk,1930,44,female,710,299934.9,0.00236718034480149,43842.3495013756,6157.65049862444
ruk,1930,45,female,755,298713.15,0.00252750841400856,43738.566753366,6261.43324663401
ruk,1930,46,female,837,297441.48,0.00281399890828946,43628.0171578802,6371.98284211982
ruk,1930,47,female,912,296469.15,0.00307620539944881,43505.2479652271,6494.75203477293
ruk,1930,48,female,1015,295690.86,0.00343263907447122,43371.4168865321,6628.58311346792
ruk,1930,49,female,1081,294820.1,0.00366664281031042,43222.5384662122,6777.46153378781
ruk,1930,50,female,1142,293885.86,0.00388586235486117,43064.0568563017,6935.94314369831
ruk,1930,51,female,1223,292646.95,0.00417909703142302,42896.7158589162,7103.28414108382
ruk,1930,52,female,1335,291200,0.00458447802197802,42717.4463210124,7282.55367898762
ruk,1930,53,female,1491,289827,0.00514444823981203,42521.6091271987,7478.39087280133
ruk,1930,54,female,1551,288322,0.00537940219615569,42302.8589099703,7697.14109002972
ruk,1930,55,female,1682,286832,0.00586405979806995,42075.2948178463,7924.70518215368
ruk,1930,56,female,1779,285198,0.00623777165337765,41828.562773013,8171.43722698696
ruk,1930,57,female,1825,283453,0.00643845716926616,41567.645749846,8432.35425015399
ruk,1930,58,female,2045,281470.5,0.00726541502573094,41300.0142430584,8699.9857569416
ruk,1930,59,female,2250,279334,0.00805487337739051,40999.952499014,9000.04750098602
ruk,1930,60,female,2400,277001,0.00866422864899405,40669.7030731554,9330.2969268446
ruk,1930,61,female,2646,274482,0.00963997639189455,40317.3314666429,9682.66853335712
ruk,1930,62,female,2719,271802.5,0.0100035871634735,39928.6733431203,10071.3266568797
ruk,1930,63,female,3004,269100,0.0111631363805277,39529.2433790105,10470.7566209895
ruk,1930,64,female,3041,266119.5,0.0114271971802142,39087.9730441515,10912.0269558485
ruk,1930,65,female,3485,262979,0.0132520087155248,38641.3070688011,11358.6929311989
ruk,1930,66,female,3423,259535.5,0.0131889471767831,38129.2321307461,11870.7678692539
ruk,1930,67,female,3782,255873.5,0.0147807412647265,37626.3477022824,12373.6522977176
ruk,1930,68,female,4013,252097,0.0159184758247817,37070.2023921583,12929.7976078417
ruk,1930,69,female,4282,248008,0.0172655720783201,36480.101271559,13519.898728441
ruk,1930,70,female,4464,243674,0.0183195580981147,35850.2514536305,14149.7485463695
ruk,1930,71,female,4753,238971.5,0.0198894010373622,35193.4906892937,14806.5093107063
ruk,1930,72,female,5189,234064,0.0221691503178618,34493.5132390696,15506.4867609304
ruk,1930,73,female,5501,228699.5,0.0240533975806681,33728.8213590815,16271.1786409185
ruk,1930,74,female,5751,223026.5,0.0257861733919512,32917.5286090042,17082.4713909958
ruk,1930,75,female,6074,216773.5,0.0280200301236083,32068.7115086579,17931.2884913421
ruk,1930,76,female,6245,210173,0.0297136168775247,31170.14524616,18829.85475384
ruk,1930,77,female,6747,203289.5,0.0331891219172658,30243.9674922988,19756.0325077012
ruk,1930,78,female,7152,196219.5,0.036448976783653,29240.1967679351,20759.8032320649
ruk,1930,79,female,7381,188883,0.0390771006390199,28174.4215147912,21825.5784852088
ruk,1930,80,female,7753,181058.5,0.042820414396452,27073.4468098115,22926.5531901885
ruk,1930,81,female,8027,173054.5,0.0463842315571106,25914.1505982751,24085.8494017249
ruk,1930,0,male,23581,321236.65,0.073406941580296,50000,0
ruk,1930,1,male,5346,312104.33,0.0171288876383099,46329.6529209852,3670.3470790148
ruk,1930,2,male,1946,309198.23,0.00629369708875759,45536.0775017797,4463.92249822025
ruk,1930,3,male,1310,308482.28,0.00424659724377037,45249.4872233734,4750.51277662665
ruk,1930,4,male,1127,304195.47,0.00370485464494261,45057.3308756486,4942.66912435144
ruk,1930,5,male,987.82,303639.08,0.00325327029709088,44890.4000140652,5109.59998593481
ruk,1930,6,male,780.85,306103.09,0.00255093798628429,44744.3594090749,5255.6405909251
ruk,1930,7,male,581.31,305643.69,0.00190192050095979,44630.2193229863,5369.78067701366
