"year","female","male","total","country_code"
1865,53.58,50.63,52.16,"nor"
1866,52.72,48.87,50.84,"nor"
1867,52.14,48.4,50.3,"nor"
1868,52.77,49.42,51.13,"nor"
1869,53.12,49.6,51.41,"nor"
1870,53.71,50.15,51.97,"nor"
1871,53.71,50.46,52.11,"nor"
1872,52.67,49.75,51.24,"nor"
1873,52.9,49.33,51.14,"nor"
1874,52.68,49.47,51.08,"nor"
1875,52.99,49.63,51.32,"nor"
1876,53.56,49.81,51.7,"nor"
1877,53.76,50.81,52.29,"nor"
1878,54.34,50.93,52.65,"nor"
1879,54.15,51.33,52.77,"nor"
1880,53.71,50.18,51.96,"nor"
1881,54.08,50.85,52.5,"nor"
1882,54.29,51.02,52.69,"nor"
1883,55.65,52.05,53.89,"nor"
1884,55.01,51.26,53.16,"nor"
1885,55.45,52.32,53.93,"nor"
1886,55.84,52.55,54.22,"nor"
1887,56.21,53.21,54.74,"nor"
1888,55.76,52.19,54,"nor"
1889,56.79,52.82,54.82,"nor"
1890,57.57,53.14,55.37,"nor"
1891,57.78,53.53,55.65,"nor"
1892,58.71,54.14,56.4,"nor"
1893,59.44,54.51,56.95,"nor"
1894,59.9,54.84,57.34,"nor"
1895,60.38,55.24,57.77,"nor"
1896,60.53,55.31,57.89,"nor"
1897,60.89,55.47,58.16,"nor"
1898,61.02,55.47,58.22,"nor"
1899,61.42,55.61,58.49,"nor"
1900,62.48,56.79,59.62,"nor"
1901,63.37,57.44,60.38,"nor"
1902,64.04,58.49,61.26,"nor"
1903,64.3,58.74,61.51,"nor"
1904,65.3,59.05,62.16,"nor"
1905,65.25,59.32,62.29,"nor"
1906,66.97,60.48,63.69,"nor"
1907,67.01,60.61,63.78,"nor"
1908,67.24,60.91,64.01,"nor"
1909,67.89,61.55,64.67,"nor"
1910,68.43,61.72,65,"nor"
1911,69.01,62.15,65.49,"nor"
1912,69.36,62.24,65.7,"nor"
1913,69.48,62.6,65.95,"nor"
1914,69.68,62.55,66,"nor"
1915,69.9,62.41,66.08,"nor"
1916,71.03,63.15,66.99,"nor"
1917,71.39,63.92,67.57,"nor"
1918,71.8,63.84,67.72,"nor"
1751,35.81,32.67,34.23,"swe"
1752,37.06,33.91,35.47,"swe"
1753,36.67,33.68,35.17,"swe"
1754,35.64,33.21,34.44,"swe"
1755,35.48,32.92,34.22,"swe"
1756,35.36,32.96,34.17,"swe"
1757,37.36,34.14,35.76,"swe"
1758,37.34,33.94,35.63,"swe"
1759,38.31,34.67,36.49,"swe"
1760,36.45,33.47,34.97,"swe"
1761,35.8,32.56,34.19,"swe"
1762,34.9,31.88,33.4,"swe"
1763,36.22,32.72,34.47,"swe"
1764,36.5,32.81,34.65,"swe"
1765,36.72,32.96,34.83,"swe"
1766,36.28,32.71,34.5,"swe"
1767,34.14,30.92,32.53,"swe"
1768,34.99,32.06,33.54,"swe"
1769,35.68,32.97,34.35,"swe"
1770,36.09,33.04,34.58,"swe"
1771,34.91,31.76,33.35,"swe"
1772,33.94,30.9,32.43,"swe"
1773,39.28,36.18,37.75,"swe"
1774,36.86,33.71,35.3,"swe"
1775,37.65,34.28,35.97,"swe"
1776,38.43,34.69,36.56,"swe"
1777,36.65,33.15,34.9,"swe"
1778,36.5,32.92,34.71,"swe"
1779,37.51,33.75,35.63,"swe"
1780,37.91,34.5,36.22,"swe"
1781,37.83,34.27,36.06,"swe"
1782,37.55,33.86,35.71,"swe"
1783,38.49,34.89,36.7,"swe"
1784,38.59,35.35,37,"swe"
1785,39.61,36.01,37.84,"swe"
1786,39.02,35.4,37.23,"swe"
1787,39.87,36.1,38,"swe"
1788,38.12,34.3,36.22,"swe"
1789,38.82,34.97,36.91,"swe"
1790,40.24,36.29,38.27,"swe"
1791,40.59,36.31,38.44,"swe"
1792,39.64,35.12,37.35,"swe"
1793,40.51,36.51,38.5,"swe"
1794,39.47,35.53,37.49,"swe"
1795,40.05,35.93,37.96,"swe"
1796,39.57,35.64,37.58,"swe"
1797,39.98,36.14,38.04,"swe"
1798,39.72,35.79,37.73,"swe"
1799,38.55,34.55,36.52,"swe"
1800,39.9,35.87,37.85,"swe"
1801,41.25,36.63,38.9,"swe"
1802,41.68,36.91,39.25,"swe"
1803,40.82,36.22,38.48,"swe"
1804,40.42,36.16,38.26,"swe"
1805,39.94,35.8,37.84,"swe"
1806,39.97,36.17,38.05,"swe"
1807,40.16,35.61,37.85,"swe"
1808,38.4,34.17,36.25,"swe"
1809,41.38,37.13,39.24,"swe"
1810,41.3,36.97,39.1,"swe"
1811,41.92,37.88,39.88,"swe"
1812,42.45,38.1,40.25,"swe"
1813,43.7,39.34,41.49,"swe"
1814,44.42,40.48,42.43,"swe"
1815,44.09,39.93,41.99,"swe"
1816,44.44,40.38,42.38,"swe"
1817,45.23,41.06,43.12,"swe"
1818,44.79,40.67,42.7,"swe"
1819,45.09,41.28,43.16,"swe"
1820,46.33,42.35,44.31,"swe"
1821,46.68,42.94,44.78,"swe"
1822,47.86,43.77,45.8,"swe"
1823,47.69,43.84,45.74,"swe"
1824,47.93,44.16,46.03,"swe"
1825,46.83,43.15,44.97,"swe"
1826,46.38,42.58,44.47,"swe"
1827,46.58,42.84,44.69,"swe"
1828,45.87,41.87,43.86,"swe"
1829,46.1,42.14,44.1,"swe"
1830,46.81,42.53,44.64,"swe"
1831,47.26,43.2,45.2,"swe"
1832,48.53,44.86,46.68,"swe"
1833,47.98,43.94,45.94,"swe"
1834,48.64,44.56,46.59,"swe"
1835,49.09,45.11,47.09,"swe"
1836,47.48,43.37,45.41,"swe"
1837,46.89,43.14,45,"swe"
1838,48.07,44.2,46.13,"swe"
1839,49.18,45.04,47.1,"swe"
1840,49.06,44.93,46.98,"swe"
1841,48.81,44.82,46.8,"swe"
1842,48.68,44.75,46.71,"swe"
1843,49.12,45.31,47.21,"swe"
1844,48.69,45.14,46.91,"swe"
1845,47.78,44.42,46.11,"swe"
1846,47.47,43.86,45.65,"swe"
1847,48.29,44.67,46.47,"swe"
1848,49.12,45.27,47.19,"swe"
1849,48.54,44.87,46.7,"swe"
1850,47.96,44.3,46.12,"swe"
1851,47.11,43.73,45.41,"swe"
1852,46.99,43.43,45.2,"swe"
1853,48.06,44.87,46.46,"swe"
1854,48.55,45.58,47.07,"swe"
1855,48.31,45.09,46.69,"swe"
1856,48.29,44.9,46.59,"swe"
1857,48.72,45.47,47.08,"swe"
1858,49.21,46.28,47.74,"swe"
1859,49.49,46.62,48.05,"swe"
1860,48.94,46.3,47.63,"swe"
1861,48.85,45.72,47.29,"swe"
1862,49.77,46.87,48.31,"swe"
1863,49.98,47.28,48.62,"swe"
1864,50.42,47.29,48.86,"swe"
1865,50.35,47.5,48.92,"swe"
1866,50.08,47.57,48.82,"swe"
1867,48.89,46.38,47.63,"swe"
1868,49.02,46.2,47.61,"swe"
1869,50.85,48.67,49.75,"swe"
1870,51.28,49.02,50.14,"swe"
1871,51.42,49.27,50.34,"swe"
1872,50.29,48.23,49.24,"swe"
1873,49.87,47.56,48.71,"swe"
1874,49.38,46.8,48.07,"swe"
1875,49.64,47.44,48.52,"swe"
1876,50.62,48.2,49.39,"swe"
1877,51.63,49.05,50.31,"swe"
1878,52.13,49.42,50.76,"swe"
1879,52.95,50.37,51.64,"swe"
1880,52.94,50.19,51.55,"swe"
1881,53.34,50.68,51.99,"swe"
1882,53.48,50.79,52.12,"swe"
1883,54.22,51.21,52.7,"swe"
1884,54.58,51.73,53.14,"swe"
1885,54.87,52.26,53.56,"swe"
1886,55.42,52.49,53.95,"swe"
1887,56.09,52.93,54.5,"swe"
1888,56.24,53.14,54.69,"swe"
1889,56.28,52.96,54.63,"swe"
1890,56.78,52.97,54.87,"swe"
1891,57.32,53.41,55.36,"swe"
1892,58.05,54.38,56.22,"swe"
1893,58.79,54.93,56.85,"swe"
1894,59.14,54.82,56.97,"swe"
1895,59.32,55.09,57.19,"swe"
1896,59.62,55.37,57.47,"swe"
1897,60.18,55.94,58.04,"swe"
1898,60.26,55.67,57.93,"swe"
1899,60.47,55.75,58.09,"swe"
1900,61.32,56.43,58.85,"swe"
1901,62.27,57.45,59.83,"swe"
1902,63.54,58.68,61.09,"swe"
1903,64.27,59.23,61.72,"swe"
1904,64.83,59.82,62.29,"swe"
1905,65.38,60.04,62.69,"swe"
1906,65.88,60.5,63.14,"swe"
1907,66.52,61.2,63.81,"swe"
1908,66.53,61.22,63.83,"swe"
1909,67.53,62.22,64.82,"swe"
1910,67.7,62.07,64.81,"swe"
1911,68.32,62.66,65.42,"swe"
1912,68.76,63.05,65.84,"swe"
1913,69,63.24,66.05,"swe"
1914,68.85,62.73,65.72,"swe"
1915,69.52,63.35,66.37,"swe"
1916,70.45,64.27,67.29,"swe"
1917,71.06,64.82,67.87,"swe"
1918,71.24,64.55,67.81,"swe"
1919,72.21,65.75,68.89,"swe"
1920,72.7,65.68,69.09,"swe"
